denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
GESTION HOPITAL PRIV GERIAT MAGNOLIAS,HPGM,CENTRE GERIATRIE LES MAGNOLIAS,,,,HPGM,,,,250 à 499 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,77,,RUE,DU PERRAY,91160,BALLAINVILLIERS,,91044,0,,,0,,,,0,,,0,,
DURIEU S.A,,,,,,,,,,50 à 99 salariés,"Fabrication de peintures, vernis, encres et mastics","Fabrication de peintures, vernis, encres et mastics","Fabrication de peintures, vernis, encres et mastics",Industrie chimique,Industrie manufacturière,True,"Fabrication de peintures, vernis, encres et mastics","Fabrication de peintures, vernis, encres et mastics","Fabrication de peintures, vernis, encres et mastics",Industrie chimique,Industrie manufacturière,ZAI LA MARINIERE,2,B,RUE,CHARLES DE GAULLE,91070,BONDOUFLE,,91086,0,,,0,,,,0,,,0,,
ASSOCIATION SANTE A DOMICILE,ASAD,,,,,ASAD,,,,100 à 199 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,True,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,BATIMENT E PARC DE LA JULIENNE,24,,RUE,DES CHAMPS,91830,LE COUDRAY-MONTCEAUX,,91179,0,,,0,,,,0,,,0,,
ASS SOIN AIDE MENAGERE DOMICILE,ASAMD,,,,,ASAMD,,,,50 à 99 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,True,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,,2,,RUE,DU CHEMIN DE FER,91000,EVRY-COURCOURONNES,,91228,0,,,0,,,,0,,,0,,
ASSOCIATION AIDES A DOMICILE,,,,,,,,,,50 à 99 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,True,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,RES.LES SOURCES BAT.D,12,,RUE,GABRIEL BERTILLON,91160,LONGJUMEAU,,91345,0,,,0,,,,0,,,0,,
UNION DEPART ASS FAMIL ESSONNE,UDAF ESSONNE,,,,,UDAF ESSONNE,,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,315,,SQ,DES CHAMPS ELYSEES,91080,EVRY-COURCOURONNES,BP 107,91228,0,,,0,,,,0,,,0,,
UNION SPORTIVE DE PALAISEAU,,,,,,,,,,100 à 199 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",MAIRIE,91,,RUE,DE PARIS,91120,PALAISEAU,,91477,0,,,0,,,,0,,,0,,
ASS DE MAINTIEN ET D'AIDES A DOMICILE,AMAD,,,,,AMAD,,,,50 à 99 salariés,Aide à domicile,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,True,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Action sociale sans hébergement,Santé humaine et action sociale,,68,,RUE,PIERRE BROSSOLETTE,91130,RIS-ORANGIS,,91521,0,,,0,,,,0,,,0,,
MAISON RUSSE,,MAISON RUSSE,,,,,,,,50 à 99 salariés,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement social pour personnes âgées,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement social pour personnes âgées ou handicapées physiques,Hébergement médico-social et social,Santé humaine et action sociale,,1,,RUE,DE LA COSSONNERIE,91700,SAINTE-GENEVIEVE-DES-BOIS,,91549,0,,,0,,,,0,,,0,,
SODICO,,INTERMARCHE,,,,,INTERMARCHE,,,50 à 99 salariés,Supermarchés,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,D 947,0,,RTE,DE LIEUSAINT,91280,SAINT-PIERRE-DU-PERRAY,,91573,0,,,0,,,,0,,,0,,
ASS DIOCESAINE D'EVRY CORBEIL ESSONNES,ADECE,,,,,ADECE,,,,100 à 199 salariés,Activités des organisations religieuses,Activités des organisations religieuses,Activités des organisations religieuses,Activités des organisations associatives,Autres activités de services,True,Activités des organisations religieuses,Activités des organisations religieuses,Activités des autres organisations associatives,Activités des organisations associatives,Autres activités de services,,0,,CRS,MONSEIGNEUR ROMERO,91000,EVRY-COURCOURONNES,,91228,0,,,0,,,,0,,,0,,
HUCK,,ALCOA FASTENING SYSTEMS (AFS),,,HOWMET FASTENING SYSTEMS,,,,,50 à 99 salariés,Métallurgie des autres métaux non ferreux,Métallurgie des autres métaux non ferreux,Métallurgie des autres métaux non ferreux,Métallurgie,Industrie manufacturière,True,Métallurgie des autres métaux non ferreux,Métallurgie des autres métaux non ferreux,Production de métaux précieux et d'autres métaux non ferreux,Métallurgie,Industrie manufacturière,D ASSEVILLE,0,,,CLOS,95450,US,,95625,0,,,0,,,,0,,,0,,
CLAAS TRACTOR SAS,,CLAAS RENAULT AGRICULTURE    CLAAS PARTS DISTRIBUTION,CLAAS CORPORATE SERVICES     CLAAS  ACADEMY,,,,,,,250 à 499 salariés,Fabrication de machines agricoles et forestières,Fabrication de machines agricoles et forestières,Fabrication de machines agricoles et forestières,Fabrication de machines et équipements n.c.a.,Industrie manufacturière,True,Fabrication de machines agricoles et forestières,Fabrication de machines agricoles et forestières,Fabrication de machines agricoles et forestières,Fabrication de machines et équipements n.c.a.,Industrie manufacturière,,7,,RUE,DEWOITINE,78140,VELIZY-VILLACOUBLAY,BP 92,78640,78141,VELIZY VILLACOUBLAY CEDEX,,0,,,,0,,,0,,
HOPITAL PRIVE DE PARLY II,CMC PARLY II,,,,,CMC PARLY II,,,,250 à 499 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,21,,RUE,MOXOURIS,78150,LE CHESNAY-ROCQUENCOURT,,78158,0,,,0,,,,0,,,0,,
ATHLETIC CLUB BOULOGNE BILLANCOURT,,,,,,,,,,100 à 199 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,10,,RUE,LIOT,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
FEDERATION FRANCAISE HANDISPORT,,,,,,,,,,50 à 99 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,42,,RUE,LOUIS LUMIERE,75020,PARIS 20,,75120,0,,,0,,,,0,,,0,,
CENTRE MEDICAL PARIS SUD,,,,,,,,,,50 à 99 salariés,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins généralistes,Activités pour la santé humaine,Santé humaine et action sociale,True,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins et des dentistes,Activités pour la santé humaine,Santé humaine et action sociale,,1,,RUE,JEAN MERMOZ,92340,BOURG-LA-REINE,,92014,0,,,0,,,,0,,,0,,
CLINIQUE DE CHATILLON,,,,,,,,,,50 à 99 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,17,T,RUE,DES FAUVETTES,92320,CHATILLON,,92020,0,,,0,,,,0,,,0,,
FONDATION LAMBRECHTS,,,,,,,,,,50 à 99 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,44,,RUE,DE FONTENAY,92320,CHATILLON,,92020,0,,,0,,,,0,,,0,,
COULON,,,,,,,,,,50 à 99 salariés,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,Travaux de construction spécialisés,Construction,True,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,Travaux de finition,Travaux de construction spécialisés,Construction,,15,,RUE,RENE COCHE,92170,VANVES,,92075,0,,,0,,,,0,,,0,,
ASSOCIATION LAIQUE POUR LA GESTION D'ETABLISSEMENTS ET SERVICES SOCIAUX ET MEDICO-SOCIAUX,ALGESEM,,,,,ALGESEM,,,,50 à 99 salariés,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour enfants handicapés,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,106,,BD,RAYMOND POINCARE,92380,GARCHES,,92033,0,,,0,,,,0,,,0,,
ASS SPORTIVE GOLF ST CLOUD,,,,,,,,,,50 à 99 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,60,,RUE,DU DIX NEUF JANVIER,92380,GARCHES,,92033,0,,,0,,,,0,,,0,,
ESPACE ICARE MJC,MJC,,,,,MJC,,,,50 à 99 salariés,Gestion de salles de spectacles,Gestion de salles de spectacles,Gestion de salles de spectacles,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",True,Gestion de salles de spectacles,Gestion de salles de spectacles,"Activités créatives, artistiques et de spectacle","Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",,31,,BD,GAMBETTA,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
HOPITAL SUISSE DE PARIS,,,,,,,,,,200 à 249 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,True,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,10,,RUE,MINARD,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
STADE MULTISPORTS DE MONTROUGE,,,,,,,,,,50 à 99 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,107,,RUE,MAURICE ARNOUX,92120,MONTROUGE,,92049,0,,,0,,,,0,,,0,,
SEMIKRON DANFOSS,,,,,,,,,,50 à 99 salariés,Fabrication d'autres matériels électriques,Fabrication d'autres matériels électriques,Fabrication d'autres matériels électriques,Fabrication d'équipements électriques,Industrie manufacturière,True,"Fabrication de moteurs, génératrices et transformateurs électriques","Fabrication de moteurs, génératrices et transformateurs électriques","Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique",Fabrication d'équipements électriques,Industrie manufacturière,,130,,RTE,DE CORMEILLES,78500,SARTROUVILLE,,78586,0,,,0,,,,0,,,0,,
MAISON RETRAIT PROTEST NANTERR,,,,,,,,,,50 à 99 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,5,,RUE,WALDECK ROCHET,92000,NANTERRE,,92050,0,,,0,,,,0,,,0,,
