mapsName,mapsAddress,mapsSite,mapsPhone,firstMatch
Clever Age,"34 Rue de Saint-Pétersbourg, 75008 Paris",clever-age.com,01 53 34 66 10,True
McDonald's,"Mcdonald's™orgeval, 40 Rte de Quarante Sous, 78630 Orgeval",restaurants.mcdonalds.fr,01 39 75 46 98,True
NA,NA,NA,NA,NA
Info Link,"103 Av. Charles de Gaulle, 92200 Neuilly-sur-Seine",NA,01 55 62 15 00,True
Baccara Sécurité Privée,"43 Bd de la Muette, 95140 Garges-lès-Gonesse",NA,01 34 45 60 63,True
I.c.s.b,"240 Rue de Rosny, 93100 Montreuil",NA,01 43 63 32 01,True
DMF Sales and Marketing,"4 Av. Laurent Cély, 92600 Asnières-sur-Seine",dmf.fr,01 41 40 39 00,True
McDonald's,"Zac Les Hauts de, Rue Saint-Nicolas, 77950 Rubelles",restaurants.mcdonalds.fr,01 81 74 34 87,True
NA,NA,NA,NA,NA
Kea & Partners,"3 Rue Danton, 92240 Malakoff",kea-partners.com,01 40 84 74 00,True
Château de Neuville,"4 Rue Joseph Cornudet, 95000 Neuville-sur-Oise",residences-ehpad.com,01 34 35 62 62,True
Free Drivers SAS,"44 Rue Maurice de Broglie, 93600 Aulnay-sous-Bois",NA,01 48 65 76 48,True
Sephora - Siège Social,"41 Rue Ybry, 92200 Neuilly-sur-Seine",sephora.fr,0 809 40 40 45,True
Adisseo France SAS,"10 Pl. du Général de Gaulle, 92160 Antony",adisseo.com,01 46 74 70 00,True
Génération 120,"63 Rue Sadi Carnot, 93700 Drancy",NA,01 48 95 20 08,True
Kisio,"20 Rue Hector Malot, 75012 Paris",kisio.com,01 44 75 18 00,True
McDonald's,"Route Départementale N° Route De La Ferté Alais, 31 D31, 91760 Itteville",restaurants.mcdonalds.fr,01 69 90 99 20,True
SUZOHAPP France,"8 Av. de l'Île Saint-Martin, 92000 Nanterre",eu.suzohapp.com,01 56 05 28 00,True
SVR Cosmetic Full Services,"2 Rue de la Mare À Blot, 91220 Le Plessis-Pâte",NA,01 69 11 00 11,False
Synchrotron SOLEIL - CNRS - CEA Paris-Saclay,"L'Orme des Merisiers Départementale 128, 91190 Saint-Aubin",synchrotron-soleil.fr,01 69 35 91 91,True
"Sponsorisé
Tennis Action - cours de tennis Paris 16e","17 Rue du Général Delestraint, 75016 Paris",tennisaction.fr,01 45 30 91 92,False
ABC Distribution,"3 Av. des Violettes, 94380 Bonneuil-sur-Marne",abcosmetique.com,01 43 77 73 09,True
Astek Boulogne-Billancourt,"81ter Rue Marcel Dassault 77, 92100 Boulogne-Billancourt",astekgroup.fr,01 88 89 17 68,True
Paris Marriott Charles de Gaulle Airport Hotel,"Zone Hoteliere, 5 All. du Verger, 95700 Roissy-en-France",marriott.com,01 34 38 53 53,True
EG Retail France,"12 Av. des Beguines, 95800 Cergy",stationsbp.fr,01 73 15 00 00,True
Deodis,"2 Pl. de la Défense, 92800 Puteaux",deodis.com,01 71 15 68 68,True
FAMILLES SERVICES,"25 Av. de la Paix, 92320 Châtillon",familles-services92.fr,NA,True
"Sponsorisé
Ouihelp - Evry - Aide à domicile","53 Rue Francoeur Rooftop de, 91170 Viry-Châtillon",ouihelp.fr,01 79 35 27 90,False
CELESTE Agence Île-de-France - Opérateur de référence des entreprises,"20 Rue Albert Einstein, 77420 Champs-sur-Marne",celeste.fr,01 70 17 60 20,True
Zoll Médical France,"Parc d’Affaires Val St Quentin – Bat D, 2 Rue René Caudron, 78960 Voisins-le-Bretonneux",zoll.com,01 30 57 70 40,True
tesa,"2 All. de la Mixité, 77127 Lieusaint",tesa.fr,01 78 48 20 00,True
Fondation Partage et Vie - Siège social - Montrouge,"11 Rue de la Vanne, 92120 Montrouge",fondationpartageetvie.org,01 58 07 16 00,True
"Sponsorisé
Intermarché SUPER Longpont-Sur-Orge","Rn 20 ZAC des, Chem. des Echassons, 91310 Longpont-sur-Orge",intermarche.com,01 69 01 37 37,False
McDonald's,"Centre commercial Carré, 62, Place Ouest CARRE 7 SARL, 77127 Lieusaint",restaurants.mcdonalds.fr,01 82 33 09 12,True
Solumat Île de France groupe Vinci,"17 Rte de Cheptainville, 91630 Marolles-en-Hurepoix",NA,NA,True
McDonald's Vitry sur Seine,"Avenue Du Président Savadore, 11 Av. du Président Salvador Allende, 94400 Vitry-sur-Seine",mcdonalds.fr,01 43 91 45 58,True
TO DO TODAY,"28 Cr Albert 1er, 75008 Paris",todotoday.com,01 56 90 62 00,True
TCT Mobile Europe,"55 Av. des Champs Pierreux, 92000 Nanterre",NA,01 47 21 14 99,True
Artcurial,"7 Rdpt des Champs-Élysées Marcel-Dassault, 75008 Paris",artcurial.com,01 42 99 20 20,True
Finegan,"10 Av. de la Grande Armée, 75017 Paris",finegan.fr,01 42 66 45 15,True
GRTgaz,"15 Av. de l'Europe, 92270 Bois-Colombes",grtgaz.com,01 55 66 40 00,True
Jalios,"58 Rue Pottier, 78150 Le Chesnay-Rocquencourt",jalios.com,01 39 23 92 80,True
Globecast,"9 Rue Maurice Mallet, 92130 Issy-les-Moulineaux",globecast.com,01 55 95 26 26,True
Logirep Suresnes,"127 Rue Gambetta, 92150 Suresnes",logirep.polylogis.immo,01 40 99 45 00,True
Veolia,"30 Rue Madeleine Vionnet, 93300 Aubervilliers",veolia.com,01 85 57 70 00,True
Cenexi,"52 Rue Marcel et Jacques Gaucher, 94120 Fontenay-sous-Bois",cenexi.com,01 43 94 88 00,True
NA,NA,NA,NA,NA
McDonald's,"Rue Ampère, 77550 Moissy-Cramayel",restaurants.mcdonalds.fr,01 82 33 09 15,False
High Tech Detection Systems (HTDS),"3 Rue du Saule Trapu, 91300 Massy",htds.fr,01 64 86 28 28,True
Sagemcom,"250 Rte de l'Empereur, 92500 Rueil-Malmaison",sagemcom.com,01 57 61 10 00,True
Paco Rabanne Mode,"17 Rue François 1er, 75008 Paris",pacorabanne.com,01 71 70 45 45,True
Idemia,"Tour GDF SUEZ, 2 Pl. Samuel de Champlain, 92400 Courbevoie",idemia.com,01 73 60 20 20,True
White & Case LLP,"19 Pl. Vendôme, 75001 Paris",whitecase.com,01 55 04 15 15,True
"CFI Technologies, Groupe Prenant","18 Rue des Cévennes, 91090 Lisses",cfi-technologies.fr,01 69 11 10 10,True
Résidence de Ballancourt,"10 Rue de la Vallée, 91610 Ballancourt-sur-Essonne",residence-ballancourt.com,01 64 93 22 13,False
Axonal-Biostatem,"215 Av. Georges Clemenceau, 92000 Nanterre",axonalbiostatem.com,01 56 38 21 50,False
Galapagos,"102 Av. Gaston Roussel, 93230 Romainville",glpg.com,01 49 42 46 46,True
NA,NA,NA,NA,NA
Mvci Holidays France,"All. de l'Orme Rond, 77700 Bailly-Romainvilliers",NA,01 60 42 90 00,True
Invoke,"40 Bd Malesherbes, 75008 Paris",invoke-software.fr,01 42 68 85 60,True
Greenaffair,"5 Pl. de Marivel Immeuble CINCO, 92310 Sèvres",greenaffair.com,01 46 03 80 10,True
"Sponsorisé
ONGERE la gestion locative tout compris","10 Rue de Constantinople, 75008 Paris",ongere.fr,09 81 45 82 26,False
Institut de Radioprotection et de Sûreté Nucléaire - IRSN,"31 Av. de la Division Leclerc, 92260 Fontenay-aux-Roses",irsn.fr,01 58 35 88 88,True
Kwanko,"60 Bd du Maréchal Joffre, 92340 Bourg-la-Reine",kwanko.com,01 70 68 97 20,True
Clinalliance Ehpad Repotel Issy-les-Moulineaux,"23 Av. Jean Jaurès, 92130 Issy-les-Moulineaux",clinalliance.fr,01 41 09 20 00,True
Etudes et Chantiers Ile-de-France,"20 Pl. Jules Vallès, 91000 Évry-Courcouronnes",NA,01 60 78 19 12,True
Levy Frédérique,"102 Rue du Faubourg Saint-Denis, 75010 Paris",NA,01 44 24 65 65,False
onepoint Paris - Transformation numérique,"29 Rue des Sablons, 75116 Paris",groupeonepoint.com,01 70 23 03 00,True
Intervia Consulting,"6 Vla Leblanc, 92120 Montrouge",intervia.fr,01 49 23 02 25,True
QUADIENT - 92220,"42 Av. Aristide Briand, 92220 Bagneux",quadient.com,01 45 36 30 00,True
MEWA Commerciale S.A.R.L.,"5 Chem. de la Dîme, 95700 Roissy-en-France",mewa.fr,01 48 63 96 50,False
Intermarché SUPER Nangis,"Rte de Fontainebleau, 77370 Nangis",intermarche.com,01 60 58 51 35,False
Latham & Watkins LLP,"45 Rue Saint-Dominique, 75007 Paris",lw.com,01 40 62 20 00,True
NA,NA,NA,NA,NA
Clipper Group,"165 Av. du Bois de la Pie, 95940 Roissy-en-France",clipper-group.fr,NA,True
Metrohm France,"13 Av. du Québec, 91140 Villebon-sur-Yvette",metrohm.com,01 64 86 97 00,True
Naval Group,"40 Rue du Dr Finlay, 75732 Paris",naval-group.com,01 40 59 50 00,True
Icbatiment,"13 Rte de Saint-Leu, 95360 Montmagny",NA,01 82 41 12 31,True
Résidence Arc Boisé,"6 Rue Juliette de Wils, 94500 Champigny-sur-Marne",colisee.fr,01 41 77 69 00,True
Les Halles Trottemant,"5 Rue du Poitou, 94150 Rungis",leshallestrottemant.fr,01 46 87 41 19,True
LANDAUER Europe,"CS 60731, 78457 Cedex, 9 Rue Paul Dautier, 78140 Vélizy-Villacoublay",landauer.fr,01 40 95 62 90,True
Alpine Cars,"91978 Courtaboeuf, 14 Av. des Tropiques cedex, 91940 Les Ulis",NA,NA,True
NA,NA,NA,NA,NA
Clinalliance SMR Paris Buttes-Chaumont,"39 Rue Fessart, 75019 Paris",clinalliance.fr,01 58 82 26 26,True
Régie de quartier du 19ème,"9 Rue Colette Magny, 75019 Paris",rqparis19.org,01 42 09 96 02,True
A.j.p.l,"233 Av. de Paris, 78820 Juziers",NA,01 34 75 29 98,True
Ippon Technologies,"43 Av. de la Grande Armée, 75116 Paris",ippon.fr,01 46 12 48 48,True
ADFortia Mantes-La-Ville,"7 Rue de l'Ouest, 78711 Mantes-la-Ville",adfortia.fr,01 30 98 56 79,False
Wifirst,"26 Rue de Berri, 75008 Paris",wifirst.com,01 70 70 46 26,True
Dbv Technologies,"181 Av. Pierre Brossolette 177, 92120 Montrouge",dbv-technologies.com,01 55 42 78 78,True
Stannah,"Le, Z.I. LE CARRÉ DES AVIATEURS, 157 Av. Charles Floquet, 93150 Le Blanc-Mesnil",NA,01 55 81 51 00,True
Jacadi Siège Social,"32 Rue Guersant, 75017 Paris",jacadi.com,01 53 43 97 00,True
MA France,"Bd André Citroën, 93600 Aulnay-sous-Bois",NA,01 48 65 99 04,True
Hôtel Dream Castle,"40 Av. de la Fosse des Pressoirs, 77703 Magny-le-Hongre",dreamcastle-hotel.com,01 64 17 90 00,True
MGEN MUTUELLE (Siège social),"3 Square Max Hymans, 75748 Paris",mgen.fr,01 40 47 20 20,True
Hp Bâtiment Travaux Publics,"Rue des Voeux Saint-Georges, 94290 Villeneuve-le-Roi",hp-btp.fr,01 49 61 33 00,True
Usine Nouvelle,"10 Pl. du Général de Gaulle Parc 2, 92160 Antony",usinenouvelle.com,01 77 92 92 92,False
3 Brasseurs Lieusaint,"Centre Commercial Carre Senart, Place Ouest, 63, 77127 Lieusaint",restaurants.3brasseurs.com,01 64 13 65 65,True
Multefleet,"53 Av. Jean Jaurès, 93350 Le Bourget",NA,NA,True
TotalEnergies,"2 bis Rue Louis Armand, 75015 Paris",totalenergies.fr,09 88 81 30 03,True
Altes Accueil,"18/22 Rue Curnonsky, 75017 Paris",altes-accueil.fr,01 47 31 42 08,True
