mapsName,mapsAddress,mapsSite,mapsPhone,firstMatch
SIETOM de la Région de Tournan-en-Brie (siège),"Adresse Siège : Adresses déchetteries : consulter le site internet www.sietom77.com, 45 Rte de Fontenay, 77220 Tournan-en-Brie",sietom77.com,01 64 07 99 75,True
Île de loisirs de Saint-Quentin-en-Yvelines,"Rond Point Eric Tabarly, D912, 78190 Trappes",iledeloisirs.fr,01 30 16 44 40,False
NA,NA,NA,NA,NA
SyAGE,"17 Rue Gustave Eiffel, 91230 Montgeron",syage.org,01 69 83 72 00,True
Siresco - Syndicat Intercommunal pour la restauration collective,"68 Rue Gallieni, 93000 Bobigny",siresco.fr,01 41 83 22 30,True
NA,NA,NA,NA,NA
Syndicat AZUR : Syndicat Mixte pour la valorisation des déchets,"2 Rue du Chemin Vert, 95100 Argenteuil",syndicat-azur.fr,01 34 11 70 31,True
Ile de Loisirs de Cergy-Pontoise,"1 Rue des Étangs, 95000 Neuville-sur-Oise",cergy-pontoise.iledeloisirs.fr,01 30 30 21 55,False
Crédit Municipal de Paris,"55 Rue des Francs Bourgeois, 75004 Paris",creditmunicipal.fr,0 806 70 98 09,True
Centre d'action sociale de la ville de Paris (CASVP),"5 Bd Diderot, 75012 Paris",paris.fr,01 44 67 16 07,True
Caisse des Ecoles,"21 Pl. du Panthéon, 75005 Paris",paris.fr,01 43 54 35 44,True
Caisse des Écoles du 7e Arrondissement,"116 Rue de Grenelle, 75007 Paris",cde7.fr,01 45 51 35 99,True
Caisse des Ecoles du 8ème,"3 Rue de Lisbonne, 75008 Paris",cde08.com,01 44 90 75 00,True
Mairie du 9e arrondissement de Paris,"6 Rue Drouot, 75009 Paris",mairie09.paris.fr,01 71 37 75 09,True
Caisse des Écoles du 10ème Arrondissement,"72 Rue du Faubourg Saint-Martin, 75010 Paris",cde10.fr,01 42 08 32 85,False
Caisse des Ecoles du 11e,"12 Pl. Léon Blum, 75011 Paris",cdeparis11.org,01 43 79 02 76,True
NA,NA,NA,NA,NA
Mairie du 13ème arrondissement de Paris,"1 Pl. d'Italie, 75013 Paris",mairie13.paris.fr,01 44 08 13 13,False
Caisse des Ecoles du 14eme,"2 Pl. Ferdinand Brunot, 75014 Paris",linktr.ee,01 45 40 40 01,True
Caisse des Ecoles,"154 Rue Lecourbe, 75015 Paris",cde15.fr,01 53 68 96 68,False
Mairie du 16e arrondissement,"71 Av. Henri Martin, 75016 Paris",mairie16.paris.fr,01 40 72 16 16,False
Caisse des Ecoles du 17e,"20 Rue des Batignolles, 75840 Paris",cde17.fr,01 43 87 31 09,False
Caisse des Ecoles du 19ème,"5 Pl. Armand Carrel, 75019 Paris",mairie19.paris.fr,01 42 08 96 60,True
La 20 ème,"57 Bd Mortier, 75020 Paris",NA,NA,False
Centre Hospitalier de Melun,"270 Av. Marc Jacquet, 77000 Melun",ghsif.fr,01 81 74 17 17,False
Centre Hospitalier Léon Binet (GHT PROVINS - EST SEINE ET MARNE),"Rte de Chalautre, 77160 Provins",ch-provins.fr,01 64 60 40 00,True
EHPAD Arthur Vernes,"20 Rue des Fossés, 77250 Moret-sur-Loing",NA,01 60 70 51 52,True
Ehpad Les Jardins de Chagot,"36 Rue de l'Hôtel de ville, 77890 Beaumont-du-Gâtinais",ehpad-chagot.fr,01 64 29 90 57,True
EHPAD LE MARAIS,"25 Bis Rue Ernest Delbet, 77320 La Ferté-Gaucher",NA,01 64 20 15 04,True
Maison de Retraite EHPAD PIERRE COMBY,"1 Rue de l'Hospice, 77540 Rozay-en-Brie",NA,01 64 25 60 24,True
EHPAD - Le Fil d'Argent,"217 Rue du Dr Schweitzer, 77480 Bray-sur-Seine",le-fil-d-argent.fr,01 60 58 58 60,True
Maison de Retraite Saint Séverin,"34 Rue de la ville Forte, 77570 Château-Landon",NA,01 64 29 30 31,True
Maison de Retraite du Canton de Moret,"Rte de Challeau, 77130 Dormelles",NA,01 60 96 65 07,True
Ehpad Les Tamaris,"13 Av. de Fussy, 77840 Crouy-sur-Ourcq",NA,01 64 35 61 43,True
Ehpad Au Coin Du Feu,"9 ter Rue du Général de Gaulle, 77230 Dammartin-en-Goële",ehpaddammartin.fr,01 60 03 03 13,True
Maison de Retraite Le Clos Fleuri,"12 Rue du Parc, 77520 Donnemarie-Dontilly",NA,01 60 67 34 64,True
Ehpad la Chocolatiere,"Gd All. des Impressionnistes, 77186 Noisiel",NA,01 60 06 98 98,True
Résidence Les Charmettes,"5 Av. Jean Moulin, 77200 Torcy",lesopalines.fr,01 60 37 20 00,False
EHPAD Saint Aile,"Rue Sainte-Aile, 77510 Rebais",NA,01 64 04 50 40,True
Ehpad Mathurin Fouquet,"1 Rue du Petit Pont, 77920 Samois-sur-Seine",ehpad-fouquet.fr,01 60 39 63 96,True
Centre Communal d'Action Sociale,"3 Rue André Thomas, 77130 Montereau-Fault-Yonne",NA,01 60 57 21 02,False
Mairie de Fontainebleau,"40 Rue Grande, 77300 Fontainebleau",fontainebleau.fr,01 60 74 64 64,False
EHPAD Les Patios,"6 Bd Voltaire, 77370 Nangis",NA,01 64 08 02 39,True
Maison d'enfants de Luzancy,"16 Rue du Général Leclerc, 77138 Luzancy",NA,01 60 23 61 55,True
Centre Hospitalier de Rambouillet,"5 Rue Pierre et Marie Curie, 78120 Rambouillet",ch-rambouillet.fr,01 34 83 78 78,True
EHPAD Richard,"2 Bd Richard Garnier, 78700 Conflans-Sainte-Honorine",ehpadrichard.fr,01 34 90 44 44,True
EHPAD Les Aulnettes,"31 Rue Joseph Bertrand, 78220 Viroflay",ch-versailles.fr,01 30 24 67 88,True
Mairie de Louveciennes,"30 Rue du Général Leclerc, 78430 Louveciennes",mairie-louveciennes.fr,01 30 82 13 13,True
Centre Communal d'Action Sociale (CCAS),"Pl. du Général Charles de Gaulle, 78160 Marly-le-Roi",NA,01 30 61 60 81,True
Centre Communal d'Action Sociale,"6 Imp. des Gendarmes Bâtiment C, 78000 Versailles",versailles.fr,01 30 97 83 00,True
Mairie de Marly-le-Roi,"Pl. du Général Charles de Gaulle, 78160 Marly-le-Roi",marlyleroi.fr,01 30 61 60 00,False
Hôpital de Houdan,"42 Rue de Paris, 78550 Houdan",hopitalhoudan.fr,01 30 46 18 00,True
Centre Hospitalier François Quesnay,"2 Bd Sully, 78200 Mantes-la-Jolie",ch-mantes.fr,01 34 97 40 00,True
Hôpital du Vésinet,"72 Av. de la Princesse, 78110 Le Vésinet",hopital-levesinet.fr,01 30 15 80 00,True
Centre Hospitalier Théophile Roussel,"1 Rue Philippe Mithouard, 78363 Montesson",th-roussel.fr,01 30 86 38 38,True
Maison de Retraite Ablis,"31 Rue Pierre Trouvé, 78660 Ablis",guide-maison-retraite.com,01 30 59 10 98,True
Hôpital de Pédiatrie et de Rééducation,"Lieu-dit Hpr Longchêne, 78830 Bullion",hpr-bullion.fr,01 34 85 43 00,True
Hôpital Gérontologique Philippe Dugué,"1 Rue Jean Mermoz, 78460 Chevreuse",hgchevreuse.fr,01 30 07 34 00,True
Centre Hospitalier de Versailles - Hôpital André Mignot,"177 Rue de Versailles, 78150 Le Chesnay-Rocquencourt",ch-versailles.fr,01 39 63 91 33,True
Centre Hospitalier Intercommunal Meulan les Mureaux Site Henri IV,"1 Rue du Fort, 78250 Meulan-en-Yvelines",chimm.fr,01 30 91 85 00,False
Centre hospitalier intercommunal de Poissy – Saint-Germain-en-Laye,"20 Rue Armagis, 78100 Saint-Germain-en-Laye",ghtyvelinesnord.fr,01 39 27 40 50,True
Blanchisserie Interhospitalière St Germain En Laye,"17 Bd Franz Liszt, 78100 Saint-Germain-en-Laye",NA,NA,True
Centre Hospitalier d'Arpajon,"18 Av. de Verdun, 91290 Arpajon",ch-arpajon.fr,01 64 92 92 92,True
Maison de Retraite Hautefeuille,"Rue des Noblets, 91770 Saint-Vrain",residence-hautefeuille.fr,01 69 14 14 14,True
Centre Hospitalier Sud Francilien,"40 Avenue Serge Dassault, 91100 Corbeil-Essonnes",NA,01 61 69 61 69,True
Maison de la Justice et du Droit,"1 Rue du Coq, 91150 Étampes",caese.fr,01 69 92 11 70,False
CCAS,"1 Av. du Général de Gaulle, 91300 Massy",ccas.fr,01 60 13 30 00,True
Mairie de Savigny-sur-Orge,"48 Av. Charles de Gaulle, 91600 Savigny-sur-Orge",savigny.org,01 69 54 40 00,False
Mairie d'Athis-Mons - Centre administratif,"1 Pl. du Général de Gaulle, 91200 Athis-Mons",mairie-athis-mons.fr,01 69 54 54 54,False
La Centrale de Financement Viry Châtillon - Courtier en prêt immobilier,"71 Av. du Général de Gaulle, 91170 Viry-Châtillon",lacentraledefinancement.fr,01 69 12 20 20,False
Maison de Retraite Degommier,"12 Rue Degommier, 91590 Cerny",residencedegommier.fr,01 64 57 78 88,True
Maison de Retraite Léon Maugé,"67 Rue d'Estienne d'Orves, 91370 Verrières-le-Buisson",NA,0 893 02 51 55,True
Groupe hospitalier Nord-Essonne - site d'Orsay,"4 Pl. du Général Leclerc, 91400 Orsay",gh-nord-essonne.fr,01 69 29 75 75,True
Maison De Retraite Le Manoir,"7 Rue Aristide Briand, 91230 Montgeron",manoir-montgeron.com,01 69 83 07 40,True
Maison de Retraite la Pie Voleuse,"1 Av. de la République, 91120 Palaiseau",ehpad-palaiseau.fr,01 69 31 28 14,True
EHPAD Intercommunal Le Domaine de Charaintru,"3 Av. de l'Armée Leclerc, 91600 Savigny-sur-Orge",NA,01 69 05 44 16,True
Résidence Amodru - Maison de Retraite,"15 Rue du Dr Amodru, 91590 La Ferté-Alais",residence-amodru.fr,01 64 57 60 67,True
Maison de Retraite File-Etoupe,"Rue Nivet, 91310 Montlhéry",NA,01 69 80 41 41,True
EHPAD La Foret de Sequigny,"18 Rue de la Mare au Chanvre, 91700 Sainte-Geneviève-des-Bois",webself.net,01 69 04 58 00,True
Maison de Retraite de Neuilly,"20 Rue des Graviers, 92200 Neuilly-sur-Seine",ehpadneuilly.com,01 47 45 38 44,False
Maison de Retraite Les Marronniers,"36 Rue Paul Vaillant Couturier, 92300 Levallois-Perret",ehpad-levallois.fr,01 47 58 57 65,True
Maison de Retraite du Parc,"1 Rue Scarron, 92260 Fontenay-aux-Roses",ehpad-leparc-lasserre.fr,01 41 13 09 70,False
Ehpad Marguerite Renaudin,"13 Pl. du Général de Gaulle, 92330 Sceaux",humanis.com,01 41 13 35 00,True
Mairie - CCAS aînés foyers logements-restauration,"Pl. de l'Hôtel de ville, 92160 Antony",NA,01 40 96 73 98,False
C.c.a.s,"14 Rue des Parisiens, 92600 Asnières-sur-Seine",asnieres-sur-seine.fr,01 41 11 12 62,True
Mairie de Bagneux,"57 Av. Henri Ravera, 92220 Bagneux",bagneux92.fr,01 42 31 60 00,False
Espace d'accueil Clamart & Vous,"place Maurice Gunsbourg, 92140 Clamart",clamart.fr,01 46 62 35 35,True
Centre Communal d'Action Sociale (CCAS),"5 Rue de la Liberté, 92700 Colombes",NA,01 47 60 43 90,False
Mairie de Gennevilliers,"177 Av. Gabriel-Péri, 92230 Gennevilliers",ville-gennevilliers.fr,01 40 85 66 66,False
Mairie d'Issy-les-Moulineaux,"62 Rue du Général Leclerc, 92130 Issy-les-Moulineaux",issy.com,01 41 23 80 00,False
Mairie - service de l'aide sociale(C.C.A.S),"6 Av. le Corbeiller, 92190 Meudon",NA,01 41 14 80 81,True
CCAS - Service d'aide sociale et municipale des festivités,"88 Rue du 8 Mai 1945, 92000 Nanterre",nanterre.fr,01 47 29 50 50,True
Ctre Com Action Sociale de Puteaux,"131 Rue de la République, 92800 Puteaux",NA,01 46 92 92 92,False
Mairie,"2 Rue Claude Liard, 92380 Garches",ville-garches.fr,01 47 95 66 66,True
Mairie de Saint-Cloud,"13 Pl. Charles de Gaulle, 92210 Saint-Cloud",saintcloud.fr,01 47 71 53 00,False
Mairie de Suresnes,"2 Rue Carnot, 92150 Suresnes",suresnes.fr,01 41 18 19 20,False
Maison de Retraite Communale Aulagnier,"30 Rue Auguste Bailly, 92600 Asnières-sur-Seine",NA,01 40 86 42 42,True
EHPAD Résidence Sainte Emilie,"81 Av. Adolphe Schneider, 92140 Clamart",etablissements.fhf.fr,01 41 90 25 25,False
Résidence La Méridienne,"36 Quai d'Asnières, 92390 Villeneuve-la-Garenne",residencelameridienne92.com,01 47 98 18 88,True
Institut Départemental Gustave Baguer,"35 Rue de Nanterre, 92600 Asnières-sur-Seine",baguer.fr,01 46 88 02 10,True
Centre Hospitalier Stell,"1 Rue Charles Drot, 92500 Rueil-Malmaison",chd-stell.fr,01 41 29 90 00,False
Fondation Roguet,"58 Rue Georges Boisseau, 92110 Clichy",fondation-roguet.fr,01 41 40 46 00,False
Hôpital Cash Nanterre,"403 Av. de la République, 92000 Nanterre",NA,02 46 79 13 66,True
Résidence La Chesnaye,"25 Rte des Fusillés de la Résistance, 92150 Suresnes",NA,01 78 14 10 00,True
EHPAD Résidence Madeleine Verdier,"5 All. de la Vallière, 92120 Montrouge",residence-madeleine-verdier.fr,01 58 07 91 00,True
EHPAD Résidence Larmeroux,"2 Ter Rue Aristide Briand, 92170 Vanves",gcsmspasapah92.fr,01 41 08 10 75,True
EHPAD Lasserre,"4 Rue Séverine, 92130 Issy-les-Moulineaux",ehpad-leparc-lasserre.fr,01 55 95 61 50,True
Centre Hospitalier des Quatre Villes,"Rue Charles Lauer, 92210 Saint-Cloud",ch4v.fr,01 77 70 70 70,True
CCAS centre d’action sociale,"19/21 Rue Jacques Duclos, 93600 Aulnay-sous-Bois",NA,NA,True
Mairie de Bobigny,"31 Av. du Président Salvador Allende, 93000 Bobigny",bobigny.fr,01 41 60 93 93,False
Centre Communal d'Action Sociale de Drancy,"Pl. de l'Hôtel de Ville, 93700 Drancy",NA,01 71 29 53 40,True
Centre Communal Action Sociale,"102 bis, Rue de la République, 92800 Puteaux",NA,01 46 92 95 95,False
Centre Communal d'action Sociale,"1 Pl. François Mitterrand, 93330 Neuilly-sur-Marne",NA,01 43 08 96 96,True
Centre communal d'action sociale (CCAS),"11 Rue de Brément, 93130 Noisy-le-Sec",noisylesec.fr,01 41 83 81 10,False
C.c.a.s. De Pantin,"84 - 88 Av. du Général Leclerc, 93500 Pantin",NA,NA,True
