mapsName,mapsAddress,mapsSite,mapsPhone,firstMatch
NA,NA,NA,NA,NA
Whirlpool France SAS,"11 Cr Valmy, 92800 Puteaux",whirlpool.fr,09 69 39 12 34,True
Seip Groupe Bir,"4 All. des Devodes, 91160 Saulx-les-Chartreux",seip-tp.fr,NA,True
Groupe Trigone Informatique,"35 Rue Chanzy, 75011 Paris",trigone.fr,01 44 93 21 50,True
SOTRELEC Entreprise Générale d’électricité,"3 All. Emile Reynaud, 77200 Torcy",sotrelec.fr,01 58 39 35 35,True
ici Barbès,"10 Rue Petit, 75019 Paris",icibarbes.com,01 53 21 21 00,True
Terideal,"4 Bd Arago, 91320 Wissous",terideal.fr,01 69 81 18 00,True
Les Nouveaux Constructeurs Île-de-France,"50 Rte de la Reine, 92100 Boulogne-Billancourt",lesnouveauxconstructeurs.fr,01 55 60 45 45,True
NA,NA,NA,NA,NA
E.Leclerc COULOMMIERS,"8 Bd de la Marne, 77120 Coulommiers",e.leclerc,01 64 03 62 12,True
H.G.H Systèmes Infrarouges,"10 Rue Maryse Bastié, 91430 Igny",hgh.fr,01 69 35 47 70,True
AFER,"36 Rue de Châteaudun, 75009 Paris",afer.fr,01 40 82 24 24,True
CEWE,"21 All. de l'Europe, 92110 Clichy",cewe.fr,0 825 68 68 06,True
EHPAD Villa Caroline,"22 Rue Jeanne d'Arc, 92230 Gennevilliers",residencevillacaroline.com,01 47 94 97 10,True
KL CONSEIL,"5 Rue de la Bourse, 75002 Paris",klconseil.com,01 55 04 70 00,True
Eclor Entreprises,"20 Rue Rouget de Lisle, 92130 Issy-les-Moulineaux",groupe-eclor.com,01 71 10 72 21,True
Electre,"35 Rue Grégoire de Tours, 75006 Paris",electre.com,01 44 41 28 00,True
Hauky,"162 Rue Constant Coquelin, 94600 Choisy-le-Roi",NA,01 46 80 93 84,True
Ages Et Vie,"7 Av. Maximilien Robespierre, 94400 Vitry-sur-Seine",agesetvie.fr,01 46 81 15 35,True
Sani 92,"20 Rue Rollet Salvan, 92230 Gennevilliers",sani92.fr,01 47 98 90 60,True
France Télévisions,"7 Espl. Henri de France, 75015 Paris",francetelevisions.fr,01 56 22 60 00,True
Sierra Productions,"40 Quai du Point du Jour, 92100 Boulogne-Billancourt",NA,01 41 33 14 90,True
S.A. La Louisiane,"18 Rue Buzelin, 75018 Paris",NA,NA,True
Banque Française Mutualiste,"60 Rue de la Glacière, 75013 Paris",banquefrancaisemutualiste.fr,09 87 98 09 80,True
Aperam Alloys Rescal,"200 Av. de la Couronne des Prés, 78680 Épône",aperam.com,01 30 90 04 00,True
Saint Clair Le Traiteur - Laboratoire de production,"46 Rue du Bois du Pont, 95310 Saint-Ouen-l'Aumône",saintclair.com,01 30 37 68 88,True
Schwarzkopf,"161 Rue de Silly, 92120 Boulogne-Billancourt",schwarzkopf.fr,NA,True
TF1,"1 Quai du Point du Jour, 92100 Boulogne-Billancourt",tf1.fr,01 41 41 12 34,True
Surgard,"9 Rue du Grand Étang, 78920 Ecquevilly",surgard.fr,01 30 99 15 65,True
Delisle Lavage,"Rte de Provins BP25, 77320 La Ferté-Gaucher",delisle-sa.com,01 64 75 85 93,False
Artisan Christian.F,"14 Chem. Bellevue, 91220 Brétigny-sur-Orge",couvreur-christianf.fr,06 03 91 85 70,False
Rand Freres,75003 Paris,NA,NA,True
Thermo Fisher Scientific,"16 Av. du Québec SILIC 765, 91140 Les Ulis",thermofisher.com,01 60 92 48 00,False
NA,NA,NA,NA,NA
Lefort Francheteau,"1 Av. du Président Georges Pompidou, 92500 Rueil-Malmaison",lefortfrancheteau.com,NA,True
HATOM PYLONE / ATF,"40 R. de Chenet, 91490 Milly-la-Forêt",hatom.fr,01 64 98 26 26,True
PI Electronique,"36 Av. de la Baltique, 91140 Villebon-sur-Yvette",pielectronique.com,01 69 29 72 03,True
METALINE,"183 Av. Georges Clemenceau, 92000 Nanterre",metaline.fr,01 55 69 11 00,True
Aptima,"26 Rue des Closeaux, 78200 Mantes-la-Jolie",aptima.fr,01 30 33 06 65,True
Orphée,"35 Rue de la République, 92150 Suresnes",orphee.fr,01 42 04 20 00,True
La Française,"128 Bd Raspail, 75006 Paris",la-francaise.com,01 44 56 10 00,True
Tite Live - ePagine - Place des Libraires,"19 bis Av. Léon Gambetta, 92120 Montrouge",titelive.com,01 55 58 32 00,True
SPC du Chesnay Trianon - SCC Parly2,"2 Av. Charles de Gaulle, 78150 Le Chesnay-Rocquencourt",parly2.com,01 39 55 55 45,True
E.Leclerc MASSY,"107 Rte de Palaiseau, 91300 Massy",e.leclerc,01 60 10 31 00,False
GIE Media Transports - Régie Publicitaire Métrobus / Médiagares / Médiarail,"1 Rdpt Victor Hugo, 92130 Issy-les-Moulineaux",mediatransports.com,01 46 90 52 00,False
Societe Exploitation Clinique de Tourn,"Clinique de Tournan, 2 Rue Jules Lefèbvre, 77220 Tournan-en-Brie",NA,01 64 42 43 42,True
ip-label,"90 Bd national, 92250 La Garenne-Colombes",ekara.ip-label.com,01 77 49 53 00,True
Bateaux Parisiens,"Port de la Bourdonnais, 75007 Paris",bateauxparisiens.com,01 46 99 25 72,True
George V Gestion,"19 Rue de Vienne, 75008 Paris",NA,01 42 94 85 87,True
Marie,"24 Rue Saarinen, 94150 Rungis",marie.fr,01 56 70 90 00,True
USEP Paris,"167 Bd de la Villette, 75010 Paris",usep75.fr,01 53 38 85 18,False
Rockwell Automation,"2 Rue René Caudron Batiment B, 78960 Voisins-le-Bretonneux",rockwellautomation.com,01 61 08 77 00,True
ESAT de l'ARMME,"10 Rue Charles Cros, 95320 Saint-Leu-la-Forêt",esat-de-larmme.com,01 34 18 97 97,True
Visiodent,"82 Rue Villeneuve, 92110 Clichy",visiodent.com,01 49 46 58 00,True
EURODECISION,"9 Rue de la Prte de Buc, 78000 Versailles",eurodecision.com,01 39 07 12 40,True
"Sponsorisé
Princesse tam.tam","70 Rue Saint-Dominique, 75007 Paris",princessetamtam.com,01 45 51 43 91,False
Up Universal Paysage,"Rue Philippe Lebon, 77500 Chelles",universal-paysage.fr,NA,True
Composite Industrie,"25 Rue Gutenberg, 91070 Bondoufle",NA,01 69 91 49 00,False
Microsoft France,"37 Quai du Président Roosevelt, 92130 Issy-les-Moulineaux",microsoft.com,09 70 01 90 90,True
NA,NA,NA,NA,NA
BELFOR (France) Sucy en Brie,"6 Rue Magellan, 94370 Sucy-en-Brie",belfor.com,01 49 82 90 10,True
Leica Geosystems (Siège social),"Immeuble le Navarque, 35 Av. de l'Île Saint-Martin, 92000 Nanterre",leica-geosystems.fr,01 81 93 61 50,True
