denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
SNEF,,,,,SNEF,,SNEF E-TCR,,,100 à 199 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,5,,RUE,CLAUDE BERNARD,78310,MAUREPAS,,78383,0,,,0,,,,0,,,0,,
ADIDAS FRANCE,,ADIDAS FRANCE,,,,,ADIDAS,,,100 à 199 salariés,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros d'habillement et de chaussures,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail de biens culturels et de loisirs en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,22,,AV,DES CHAMPS ELYSEES,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
SPIE BATIGNOLLES OUTAREX,,,,,,,,,,100 à 199 salariés,Travaux de maçonnerie générale et gros œuvre de bâtiment,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,Travaux de construction spécialisés,Construction,True,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,Autres travaux de construction spécialisés,Travaux de construction spécialisés,Construction,,113,,AV,ARISTIDE BRIAND,94110,ARCUEIL,,94003,0,,,0,,,,0,,,0,,
HEXAOM,MFC,,,,HEXAOM  MAISONS FRANCE CONFORT- MFC  RENOVERT  MAISONS OPEN  OPEN  MAISONS BALENCY,MFC,,,,100 à 199 salariés,Promotion immobilière de logements,Promotion immobilière de logements,Promotion immobilière,Construction de bâtiments,Construction,False,Promotion immobilière de logements,Promotion immobilière,Promotion immobilière,Construction de bâtiments,Construction,,201,,RTE,NATIONALE 10,78310,COIGNIERES,,78168,0,,,0,,,,0,,,0,,
AUTORITE DE SURETE NUCLEAIRE,ASN,,,,,ASN,,,,100 à 199 salariés,"Analyses, essais et inspections techniques","Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Analyses, essais et inspections techniques",Activités de contrôle et analyses techniques,Activités de contrôle et analyses techniques,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,15,,RUE,LOUIS LEJEUNE,92120,MONTROUGE,CS 70013,92049,92541,MONTROUGE CEDEX,,0,,,,0,,,0,,
GROUPEMENT COOPERATION SANITAIRE BLANCHISSERIE INTERHOSPITALIERE SEINE ET MARNE,GCS BIH 77,,,,,GCS BIH 77,,,,100 à 199 salariés,Blanchisserie-teinturerie de gros,Blanchisserie-teinturerie de gros,Blanchisserie-teinturerie,Autres services personnels,Autres activités de services,True,Blanchisserie-teinturerie de gros,Blanchisserie-teinturerie,Autres services personnels,Autres services personnels,Autres activités de services,,16,,RUE,DE LA BAUVE,77100,MEAUX,,77284,0,,,0,,,,0,,,0,,
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,IRD,,,,,IRD,CENTRE IRD D'ILE DE FRANCE,,,100 à 199 salariés,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",False,Recherche-développement en sciences humaines et sociales,Recherche-développement en sciences humaines et sociales,Recherche-développement en sciences humaines et sociales,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",,32,,AV,HENRI VARAGNAT,93140,BONDY,,93010,93143,BONDY CEDEX,,0,,,,0,,,0,,
CAISSE DES DEPOTS ET CONSIGNATIONS,CDC,,,,,CDC,SERVICES CENTRAUX,,,100 à 199 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,51,,RUE,DE LILLE,75007,PARIS 7,,75107,75356,PARIS SP 07,,0,,,,0,,,0,,
CAISSE DES DEPOTS ET CONSIGNATIONS,CDC,,,,,CDC,CDC IMMEUBLE AUSTERLITZ 4,,,100 à 199 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,198,,AV,DE FRANCE,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
MUSEE DE L'ARMEE,,,,,,,,,,100 à 199 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",HOTEL DES INVALIDES,0,,PL,DES INVALIDES,75007,PARIS 7,,75107,75700,PARIS SP 07,,0,,,,0,,,0,,
MUSEE DE L'AIR ET DE L'ESPACE,,,,,,,,,,100 à 199 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,0,,,AEROPORT DE PARIS BOURGET,93350,LE BOURGET,BP 173,93013,93352,LE BOURGET CEDEX,,0,,,,0,,,0,,
OPERATEUR DU PATRIMOINE ET DES PROJETS IMMOBILIERS DE LA CULTURE,OPPIC,,,,,OPPIC,,,,100 à 199 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,30,,RUE,DU CHATEAU DES RENTIERS,75013,PARIS 13,CS 61336,75113,75647,PARIS CEDEX 13,,0,,,,0,,,0,,
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,CROUS,,,,,CROUS,,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,39,,AV,GEORGES BERNANOS,75005,PARIS 5,,75105,75231,PARIS CEDEX 05,,0,,,,0,,,0,,
GIP HABITAT ET INTERVENTIONS SOCIALES,GIP HIS,,,,,GIP HIS,,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,3,,RUE,FRANKLIN,93100,MONTREUIL,CS 90042,93048,93108,MONTREUIL CEDEX,,0,,,,0,,,0,,
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,CROUS,,,,,CROUS,,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,145,B,BD,DE LA REINE,78000,VERSAILLES,BP 563,78646,78005,VERSAILLES CEDEX,,0,,,,0,,,0,,
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,CROUS,,,,,CROUS,,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,70,,AV,DU GENERAL DE GAULLE,94000,CRETEIL,,94028,94010,CRETEIL CEDEX,,0,,,,0,,,0,,
OPH SEINE OUEST HABITAT,,,,,,,,,,100 à 199 salariés,Location de logements,Location de logements,Location et exploitation de biens immobiliers propres ou loués,Activités immobilières,Activités immobilières,True,Location de logements,Location et exploitation de biens immobiliers propres ou loués,Location et exploitation de biens immobiliers propres ou loués,Activités immobilières,Activités immobilières,,71,,BD,GALLIENI,92130,ISSY-LES-MOULINEAUX,,92040,0,,,0,,,,0,,,0,,
GROUPE HOSPITALIER INTERCOMMUNAL LE RAINCY MONTFERMEIL,,,,,,,CTRE MOYEN SEJOUR LES ORMES,,,100 à 199 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,13,,PL,JEAN MERMOZ,93370,MONTFERMEIL,,93047,0,,,0,,,,0,,,0,,
CENTRE HOSPITALIER SUD ESSONNE-DOURDAN-ETAMPES,,,,,,,EHPAD,,,100 à 199 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,26,,AV,CHARLES DE GAULLE,91150,ETAMPES,,91223,0,,,0,,,,0,,,0,,
CENTRE HOSPITALIER DE LA MAULDRE,,,,,,,EHPAD LA MAULDRE,,,100 à 199 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,23,,RUE,SAINT LOUIS,78760,JOUARS-PONTCHARTRAIN,,78321,0,,,0,,,,0,,,0,,
PARIS MUSEES,,,,,,,,,,100 à 199 salariés,Gestion des musées,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,27,,RUE,DES PETITES ECURIES,75010,PARIS 10,,75110,0,,,0,,,,0,,,0,,
PARIS MUSEES,,,,,,,MUSEE DU PETIT PALAIS,,,100 à 199 salariés,Gestion des musées,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",False,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,1,,AV,DUTUIT,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
PARIS MUSEES,,,,,,,MUSEE CARNAVALET,,,100 à 199 salariés,Gestion des musées,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",False,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,23,,RUE,DE SEVIGNE,75003,PARIS 3,,75103,0,,,0,,,,0,,,0,,
PARIS MUSEES,,,,,,,MUSEE GALLIERA,,,100 à 199 salariés,Gestion des musées,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",False,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,10,,AV,PIERRE 1ER SERBIE,75116,PARIS 16,,75116,0,,,0,,,,0,,,0,,
EHPAD LES OISEAUX,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,17,,RUE,DU LIEUTENANT ROUSSELOT,78500,SARTROUVILLE,,78586,0,,,0,,,,0,,,0,,
CENTRE HOSPITALIER DU SUD SEINE-ET-MARNE,,,,,,,EHPAD DU PAYS DE FONTAINEBLEAU,,,100 à 199 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,55,,BD,DU MARECHAL JOFFRE,77300,FONTAINEBLEAU,,77186,0,,,0,,,,0,,,0,,
"SYNDICAT POUR L'INNOVATION, LE RECYCLAGE ET L ENERGIE PAR LES DECHETS ET ORDURES MENAGERES (SIREDOM)  AGENCE SUD FRA",SIREDOM,,,,,SIREDOM,,,,100 à 199 salariés,Collecte des déchets non dangereux,Collecte des déchets non dangereux,Collecte des déchets non dangereux,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Collecte des déchets non dangereux,Collecte des déchets non dangereux,Collecte des déchets,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,63,,RUE,DU BOIS CHALAND,91090,LISSES,,91340,0,,,0,,,,0,,,0,,
EHPAD PAYS DE FRANCE  CARNELLE,,,,,,,,,,100 à 199 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,3,,RUE,KLEINPETER,95270,VIARMES,,95652,0,,,0,,,,0,,,0,,
AGENCE METROPOLITAINE DES DECHETS MENAGERS,SYCTOM,,,,,SYCTOM,,,,100 à 199 salariés,Traitement et élimination des déchets non dangereux,Traitement et élimination des déchets non dangereux,Traitement et élimination des déchets non dangereux,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Traitement et élimination des déchets non dangereux,Traitement et élimination des déchets non dangereux,Traitement et élimination des déchets,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,35,,BD,DE SEBASTOPOL,75001,PARIS 1,,75101,0,,,0,,,,0,,,0,,
SYNDICAT MIXTE POUR LA GESTION DES EAUX DU BASSIN VERSANT DE L YERRES,SYAGE,,,,,SYAGE,,,,100 à 199 salariés,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,17,,RUE,GUSTAVE EIFFEL,91230,MONTGERON,,91421,0,,,0,,,,0,,,0,,
SYND INTERCOMMUNAL POUR LA RESTAURATION COLLECTIVE,SIRESCO,,,,,SIRESCO,,,,100 à 199 salariés,Autres services de restauration n.c.a.,Autres services de restauration n.c.a.,Autres services de restauration,Restauration,Hébergement et restauration,True,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,68,,RUE,GALLIENI,93000,BOBIGNY,,93008,0,,,0,,,,0,,,0,,
SYNDICAT AZUR,,,,,,,,,,100 à 199 salariés,Collecte des déchets non dangereux,Collecte des déchets non dangereux,Collecte des déchets non dangereux,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Collecte des déchets non dangereux,Collecte des déchets non dangereux,Collecte des déchets,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,2,,RUE,DU CHEMIN VERT,95100,ARGENTEUIL,,95018,0,,,0,,,,0,,,0,,
CREDIT MUNICIPAL DE PARIS,CMP,,,,,CMP,,,,100 à 199 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,True,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,55,,RUE,DES FRANCS BOURGEOIS,75004,PARIS 4,,75104,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD HARMONIE,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,2,,PL,CHARLES LOUIS,94470,BOISSY-SAINT-LEGER,BP 35,94004,94471,BOISSY ST LEGER CEDEX,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD JULIE SIEGFRIED,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,39 A 41,39,,AV,VILLEMAIN,75014,PARIS 14,,75114,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CAVSP PARIS 18EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,ANGLE 1 PL JULES JOFFRIN,115,B,RUE,ORDENER,75018,PARIS 18,,75118,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD ARTHUR GROUSSIER,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,6,,AV,MARX DORMOY,93140,BONDY,,93010,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,PARIS 15EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,3,B,PL,ADOLPHE CHERIOUX,75015,PARIS 15,,75115,75730,PARIS CEDEX 15,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CASVP PARIS 17EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,20,,RUE,DES BATIGNOLLES,75017,PARIS 17,,75117,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,PARIS 13EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,146,,BD,DE L HOPITAL,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CASVP PARIS 14EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,14,,RUE,BREZIN,75014,PARIS 14,,75114,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD GALIGNANI,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,89,,BD,BINEAU,92200,NEUILLY-SUR-SEINE,,92051,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD LE JARDIN DES PLANTES,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,18 A 22,18,,RUE,POLIVEAU,75005,PARIS 5,,75105,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CASVP PARIS 19EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,17,,RUE,MEYNADIER,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD FURTADO HEINE,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,5 A 7,5,,RUE,JACQUIER,75014,PARIS 14,,75114,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CASVP PARIS 20EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,62-66,62,,RUE,DU SURMELIN,75020,PARIS 20,,75120,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,PARIS 12EME SECTION,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,108,,AV,DAUMESNIL,75012,PARIS 12,,75112,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,EHPAD L'OASIS,,,100 à 199 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,NUMEROS DE VOIE 11-15,11,,RUE,DE LAGHOUAT,75018,PARIS 18,,75118,0,,,0,,,,0,,,0,,
