denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
MANUFACTURE KERING EYEWEAR,,,,,,,,,,100 à 199 salariés,Fabrication de lunettes,Fabrication de lunettes,Fabrication d'instruments et de fournitures à usage médical et dentaire,Autres industries manufacturières,Industrie manufacturière,True,Fabrication de lunettes,Fabrication d'instruments et de fournitures à usage médical et dentaire,Fabrication d'instruments et de fournitures à usage médical et dentaire,Autres industries manufacturières,Industrie manufacturière,,1,,RUE,BENJAMIN FRANKLIN,94370,SUCY-EN-BRIE,,94071,0,,,0,,,,0,,,0,,
INEO URBAN TRANSPORTATION SOLUTIONS,,,,,COFELY INEO,,ENGIE SOLUTIONS,,,100 à 199 salariés,Travaux d'installation électrique sur la voie publique,Travaux d'installation électrique sur la voie publique,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique sur la voie publique,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,86-94-13 VOIE DE LA CARDON,86,,RUE,GUTENBERG,91120,PALAISEAU,,91477,0,,,0,,,,0,,,0,,
FDJ GAMING SOLUTIONS FRANCE,,,,,,,,,,100 à 199 salariés,Programmation informatique,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,18-59,18,,AV,DE LA VOIE LACTEE,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
ALFI,,,,,ALFI CONSULTANTS,,,,,100 à 199 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,1,,CRS,DE L'ILE SEGUIN,92100,BOULOGNE-BILLANCOURT,,92012,0,,,0,,,,0,,,0,,
CO-VA-DIS,,,,,,,CENTRE LECLERC,,,100 à 199 salariés,Hypermarchés,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Hypermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ZAC DES 4 CHEMINS,130,,BD,CHARLES DE GAULLE,92700,COLOMBES,,92025,0,,,0,,,,0,,,0,,
INEO ENERGY & SYSTEMS,INEO E & S,,,,,INEO E & S,EQUANS,,,100 à 199 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,True,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,23,,RUE,GENERAL VALERIE ANDRE,78140,VELIZY-VILLACOUBLAY,,78640,0,,,0,,,,0,,,0,,
WATERLOGIC FRANCE,,,,,,,PUREZZA  WATERLOGIC,,,100 à 199 salariés,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.","Location et location-bail d'autres machines, équipements et biens matériels n.c.a.","Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",Activités de location et location-bail,Activités de services administratifs et de soutien,True,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration,"Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires",Autres commerces de gros spécialisés,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,PARC D ACTIVITE DES CHANTEREINES,8,,RUE,CDT D'ESTIENNE D'ORVES,92390,VILLENEUVE-LA-GARENNE,,92078,0,,,0,,,,0,,,0,,
TRANSPORTS MARNE ET MORIN,,,,,,,CARS DE LA VALLEE DU GRAND MORIN,,,100 à 199 salariés,Transports routiers réguliers de voyageurs,Transports routiers réguliers de voyageurs,Autres transports terrestres de voyageurs n.c.a.,Transports terrestres et transport par conduites,Transports et entreposage,False,Transports routiers réguliers de voyageurs,Autres transports terrestres de voyageurs n.c.a.,Autres transports terrestres de voyageurs,Transports terrestres et transport par conduites,Transports et entreposage,,0,,RUE,DE MARTIGNY,77860,COUILLY-PONT-AUX-DAMES,,77128,0,,,0,,,,0,,,0,,
ICON CLINICAL RESEARCH SARL,,,,,,,,,,100 à 199 salariés,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",True,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en sciences physiques et naturelles,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",IMMEUBLE LE CAPITOLE,55,,AV,DES CHAMPS PIERREUX,92000,NANTERRE,,92050,0,,,0,,,,0,,,0,,
FIRCOSOFT,,,,,,,,,,100 à 199 salariés,Édition de logiciels système et de réseau,Édition de logiciels système et de réseau,Édition d'autres logiciels,Édition,Information et communication,True,Édition de logiciels système et de réseau,Édition d'autres logiciels,Édition de logiciels,Édition,Information et communication,151-155-IMMEUBLE VICACITY,151,,RUE,DE BERCY,75012,PARIS 12,,75112,0,,,0,,,,0,,,0,,
SAP LABS FRANCE,,ERP,,,,,,,,100 à 199 salariés,Programmation informatique,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques",Information et communication,False,Programmation informatique,Programmation informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,35,,RUE,D ALSACE,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
QESTIT FRANCE,,,,,,,,,,100 à 199 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,20,,RUE,D ATHENES,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
CLCV LOGISTIQUE,,,,,,,,,,100 à 199 salariés,Vente à distance sur catalogue général,Vente à distance sur catalogue général,Vente à distance,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Entreposage et stockage non frigorifique,Entreposage et stockage,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,11 RUE DU CDT E. D'ORVES,0,,,LES CHANTEREINES,92390,VILLENEUVE-LA-GARENNE,,92078,92391,VILLENEUVE LA GARENNE CEDEX,,0,,,,0,,,0,,
STADE FRANCAIS PARIS,,STADE FRANCAIS PARIS,,,,,,,,100 à 199 salariés,Activités de clubs de sports,Activités de clubs de sports,Activités de clubs de sports,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Activités de clubs de sports,Activités de clubs de sports,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,9,,ALL,CHARLES BRENNUS,75016,PARIS 16,,75116,0,,,0,,,,0,,,0,,
MORGAN STANLEY FRANCE,,,,,,,,,,100 à 199 salariés,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.","Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.","Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.","Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,True,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.","Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.","Autres activités des services financiers, hors assurance et caisses de retraite","Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,,61,,RUE,DE MONCEAU,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
SOCIETE AIR FRANCE,,SKYTEAM,,,,,,,,100 à 199 salariés,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,False,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,,0,,,AIR FRANCE - AEROPORT CDG1,77990,MAUREGARD,,77282,0,,,0,,,,0,,,0,,
