denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
APRR,SAPRR,,,,,SAPRR,,,,50 à 99 salariés,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,DISTRICT NEMOURS,0,,,AUTOROUTE DU SOLEIL A6,77140,NEMOURS,,77333,0,,,0,,,,0,,,0,,
HAIER FRANCE,,GROUPE CANDY HOOVER,,,HAIER FRANCE,,,,,50 à 99 salariés,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Commerce de gros d'appareils électroménagers,Commerce de gros de biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,53,,BD,ORNANO,93200,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
SNEF,,,,,,,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation électrique dans tous locaux,Installation électrique,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,BATIMENT LES COURLIS,46,,AV,KLEBER,92700,COLOMBES,,92025,0,,,0,,,,0,,,0,,
SNEF,,,,,,,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,False,Travaux d'installation d'équipements thermiques et de climatisation,Travaux de plomberie et installation de chauffage et de conditionnement d'air,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,10-12-1 ER ETAGE,10,,BD,LOUISE MICHEL,92230,GENNEVILLIERS,,92036,0,,,0,,,,0,,,0,,
ORTEC INDUSTRIE,,,,,,,,,,50 à 99 salariés,Collecte des déchets dangereux,Collecte des déchets dangereux,Collecte des déchets dangereux,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",False,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,13,,AV,DESCARTES,91420,MORANGIS,,91432,0,,,0,,,,0,,,0,,
DAHER TECHNOLOGIES,,,,,,,,,,50 à 99 salariés,Affrètement et organisation des transports,Affrètement et organisation des transports,Autres services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Affrètement et organisation des transports,Autres services auxiliaires des transports,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,ZI MOIMONT II BAT E,0,,RUE,EUGENE POTTIER,95670,MARLY-LA-VILLE,,95371,0,,,0,,,,0,,,0,,
DAHER TECHNOLOGIES,,,,,,,,,,50 à 99 salariés,Affrètement et organisation des transports,Affrètement et organisation des transports,Autres services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Affrètement et organisation des transports,Autres services auxiliaires des transports,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,CHEZ USINE RENAULT FLINS BAT M,0,,BD,PIERRE LEFAUCHEUX,78410,AUBERGENVILLE,,78029,0,,,0,,,,0,,,0,,
TELEM,TELEM,ONET SECURITE,,,,TELEM,,,,50 à 99 salariés,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels","Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels",Installation de machines et d'équipements industriels,Réparation et installation de machines et d'équipements,Industrie manufacturière,False,Commerce de détail de matériels audio et vidéo en magasin spécialisé,Commerce de détail de matériels audio/vidéo en magasin spécialisé,Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,10-12-PARC AUX VIGNES,10,,ALL,DES VENDANGES,77183,CROISSY-BEAUBOURG,,77146,0,,,0,,,,0,,,0,,
SYSTEME DE SECURITE INCENDIE SERVICE,SSI SERVICE,SSI SERVICE,,,,SSI SERVICE,,,,50 à 99 salariés,Travaux d'installation électrique dans tous locaux,Travaux d'installation électrique dans tous locaux,Installation électrique,Travaux de construction spécialisés,Construction,True,Fabrication d'équipements de communication,Fabrication d'équipements de communication,Fabrication d'équipements de communication,"Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,PARC DES ALGORITHMES,0,,RTE,DE L'ORME DES MERISIERS,91190,SAINT-AUBIN,,91538,0,,,0,,,,0,,,0,,
ADIDAS FRANCE,,ADIDAS FRANCE,,,,,ADIDAS,,,50 à 99 salariés,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros d'habillement et de chaussures,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Activités administratives,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,01-Mar,1,,RUE,BLANCHE,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
LES LABORATOIRES SERVIER,,SERVIER ARDRIX EUTHERAPIE BIOPHARMA,,,,,,,,50 à 99 salariés,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Industrie pharmaceutique,Industrie manufacturière,True,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Fabrication de préparations pharmaceutiques,Industrie pharmaceutique,Industrie manufacturière,,50,,RUE,CARNOT,92150,SURESNES,,92073,92284,SURESNES CEDEX,,0,,,,0,,,0,,
PRYSMIAN CABLES ET SYSTEMES FRANCE,,,,,,,,,,50 à 99 salariés,Fabrication d'autres fils et câbles électroniques ou électriques,Fabrication d'autres fils et câbles électroniques ou électriques,Fabrication d'autres fils et câbles électroniques ou électriques,Fabrication d'équipements électriques,Industrie manufacturière,False,Services administratifs combinés de bureau,Services administratifs combinés de bureau,Activités administratives,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,BAT A6 PARC DE LA HAUTE MAISON,2,,ALL,HENDRIK LORENTZ,77420,CHAMPS-SUR-MARNE,,77083,77447,MARNE LA VALLEE CEDEX 2,,0,,,,0,,,0,,
PLATEFORME DES DONNEES DE SANTE,,,,,,,,,,50 à 99 salariés,"Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes",Services d'information,Information et communication,True,"Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes ; portails Internet",Services d'information,Information et communication,,9,,RUE,GEORGES PITARD,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
CENTRE DE RECHERCHE ET DE RESTAURATION DES MUSEES DE FRANCE,C2RMF,,,,,C2RMF,,,,50 à 99 salariés,Gestion des musées,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",PALAIS DU LOUVRE-PORTE DES LIONS,14,,QUAI,FRANCOIS MITTERRAND,75001,PARIS 1,,75101,0,,,0,,,,0,,,0,,
MUSEE DE LA RENAISSANCE CHATEAU D'ECOUEN,,,,,,,,,,50 à 99 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,0,,RUE,JEAN BULLANT,95440,ECOUEN,,95205,0,,,0,,,,0,,,0,,
MUSEE DU MOYEN AGE-THERMES ET HOTEL DE CLUNY,,,,,,,,,,50 à 99 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,6,,PL,PAUL PAINLEVE,75005,PARIS 5,,75105,0,,,0,,,,0,,,0,,
CENTRE DES MONUMENTS NATIONAUX,CMN,,,,,CMN,,,,50 à 99 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",False,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",ARC DE TRIOMPHE,0,,PL,CHARLES DE GAULLE,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
CENTRE DES MONUMENTS NATIONAUX,CMN,,,,,CMN,DOMAINE NATIONAL DE SAINT CLOUD,,,50 à 99 salariés,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",False,Gestion des sites et monuments historiques et des attractions touristiques similaires,Gestion des sites et monuments historiques et des attractions touristiques similaires,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,0,,AV,DU PALAIS,92210,SAINT-CLOUD,,92064,0,,,0,,,,0,,,0,,
SAMU-SOCIAL DE PARIS,,,,,,,SAMU SOCIAL DE PARIS,,,50 à 99 salariés,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Autres activités d'hébergement social,Hébergement médico-social et social,Santé humaine et action sociale,False,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Autres activités d'hébergement social,Autres activités d'hébergement social,Hébergement médico-social et social,Santé humaine et action sociale,,47,,BD,ROMAIN ROLLAND,92120,MONTROUGE,,92049,0,,,0,,,,0,,,0,,
BIBLIOTHEQUE UNIVERSITAIRE DES LANGUES ET CIVILISATIONS,BULAC,,,,,BULAC,,,,50 à 99 salariés,Gestion des bibliothèques et des archives,Gestion des bibliothèques et des archives,Gestion des bibliothèques et des archives,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",True,Gestion des bibliothèques et des archives,Gestion des bibliothèques et des archives,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,65,,RUE,DES GRANDS MOULINS,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,CROUS,,,,,CROUS,RESTAURANT UNIVERSITAIRE,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,1,,ALL,DE L'UNIVERSITE,92000,NANTERRE,,92050,0,,,0,,,,0,,,0,,
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,CROUS,,,,,CROUS,RESTAURANT UNIVERSITAIRE LA POINTE JAUNE,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,61,,AV,DU GENERAL DE GAULLE,94000,CRETEIL,,94028,0,,,0,,,,0,,,0,,
CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,CROUS,,,,,CROUS,RESTAURANT UNIVERS LE CROUS CLUB-CUISINE CENTRALE,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,10,,BD,ISAAC NEWTON,77420,CHAMPS-SUR-MARNE,,77083,0,,,0,,,,0,,,0,,
L'ONDE,,,,,,,,,,50 à 99 salariés,Gestion de salles de spectacles,Gestion de salles de spectacles,Gestion de salles de spectacles,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",True,Gestion de salles de spectacles,Gestion de salles de spectacles,"Activités créatives, artistiques et de spectacle","Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",,8,B,AV,LOUIS BREGUET,78140,VELIZY-VILLACOUBLAY,,78640,0,,,0,,,,0,,,0,,
EHPAD LES LILAS,,,,,,,,,,50 à 99 salariés,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,True,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,70,,RUE,DES CARRIERES,94400,VITRY-SUR-SEINE,,94081,0,,,0,,,,0,,,0,,
SYNDICAT POUR LA RESTAURATION COLLECTIVE,SYREC,,,,,SYREC,,,,50 à 99 salariés,Autres services de restauration n.c.a.,Autres services de restauration n.c.a.,Autres services de restauration,Restauration,Hébergement et restauration,True,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,0,,RUE,DES CABOEUFS,92230,GENNEVILLIERS,,92036,0,,,0,,,,0,,,0,,
CENTRE HOSPITALIER SUD ESSONNE-DOURDAN-ETAMPES,,,,,,,USLD,,,50 à 99 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,,2,,RUE,DU POTELET,91410,DOURDAN,BP 102,91200,91415,DOURDAN CEDEX,,0,,,,0,,,0,,
CO CLI CO COLOMBES CLICHY COLLECTIVITE RESTAURATION,,,,,,,,,,50 à 99 salariés,Autres services de restauration n.c.a.,Autres services de restauration n.c.a.,Autres services de restauration,Restauration,Hébergement et restauration,True,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,30,,RUE,DE BELLEVUE,92700,COLOMBES,,92025,0,,,0,,,,0,,,0,,
PARIS MUSEES,,,,,,,MUSEE BOURDELLE,,,50 à 99 salariés,Gestion des musées,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",False,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,16,,RUE,ANTOINE BOURDELLE,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
PARIS MUSEES,,,,,,,MUSEE CERNUSCHI,,,50 à 99 salariés,Gestion des musées,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",False,Gestion des musées,Gestion des musées,"Bibliothèques, archives, musées et autres activités culturelles","Bibliothèques, archives, musées et autres activités culturelles","Arts, spectacles et activités récréatives",,7,,AV,VELASQUEZ,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
S.MIXTE POUR L'AMENAGEMENT HYDRAULIQUE DES VALLEES DU CROULT ET DU PETIT ROSNE,SIAH,,,,,SIAH,,,,50 à 99 salariés,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",STATION D'EPURATION DES EAUX USEES,0,,RUE,DE L'EAU ET DES ENFANTS,95500,BONNEUIL-EN-FRANCE,,95088,0,,,0,,,,0,,,0,,
CENTRE HOSPITALIER DU SUD SEINE-ET-MARNE,,,,,,,EHPAD DU PAYS DE MONTEREAU,,,50 à 99 salariés,Activités hospitalières,Activités hospitalières,Activités hospitalières,Activités pour la santé humaine,Santé humaine et action sociale,False,Hébergement médicalisé pour personnes âgées,Hébergement médicalisé,Hébergement médicalisé,Hébergement médico-social et social,Santé humaine et action sociale,,1,B,RUE,VICTOR HUGO,77130,MONTEREAU-FAULT-YONNE,,77305,77875,MONTEREAU CEDEX,,0,,,,0,,,0,,
CENTRE INTERCOMMUNAL D'ACTION SOCIALE,CIAS,,,,,CIAS,,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,True,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,14,,RUE,GUSTAVE EIFFEL,78120,RAMBOUILLET,BP 40036,78517,78511,RAMBOUILLET CEDEX,,0,,,,0,,,0,,
SI POUR LE TRAITEMENT ET LA VALORISATION DES DECHETS (SITREVA),SITREVA,,,,,SITREVA,BUREAUX,,,50 à 99 salariés,Traitement et élimination des déchets non dangereux,Traitement et élimination des déchets non dangereux,Traitement et élimination des déchets non dangereux,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",False,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale","Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale","Administration générale, économique et sociale",Administration publique et défense ; sécurité sociale obligatoire,Administration publique,,19,,RUE,GUSTAVE EIFFEL,78120,RAMBOUILLET,,78517,0,,,0,,,,0,,,0,,
SYND MIXTE ENLEV TRAIT ORDURES MENAGER,SIETOM,,,,,SIETOM,,,,50 à 99 salariés,Collecte des déchets non dangereux,Collecte des déchets non dangereux,Collecte des déchets non dangereux,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",True,Collecte des déchets non dangereux,Collecte des déchets non dangereux,Collecte des déchets,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,45,,RTE,DE FONTENAY,77220,TOURNAN-EN-BRIE,,77470,0,,,0,,,,0,,,0,,
SYNDICAT MIXTE D'ETUDE D'AMENAGEMENT ET DE GESTION DE LA BASE DE PLEIN AIR ET DE LOISIRS DE SAINT-QUENTIN-EN-YVELINES,,,,,,,,,,50 à 99 salariés,Gestion d'installations sportives,Gestion d'installations sportives,Gestion d'installations sportives,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Gestion d'installations sportives,Gestion d'installations sportives,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",ROND-POINT ERIC TABARLY,0,,RTE,DEPARTEMENTALE 912,78190,TRAPPES,,78621,0,,,0,,,,0,,,0,,
SI GESTION PISCINE,,,,,,,,,,50 à 99 salariés,Gestion d'installations sportives,Gestion d'installations sportives,Gestion d'installations sportives,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Gestion d'installations sportives,Gestion d'installations sportives,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,16,,RUE,DE PONTOISE,78100,SAINT-GERMAIN-EN-LAYE,,78551,0,,,0,,,,0,,,0,,
SYND INTERCOMMUNAL POUR LA RESTAURATION COLLECTIVE,SIRESCO,,,,,SIRESCO,SITE DE PRODUCTION D'IVRY SUR SEINE,,,50 à 99 salariés,Autres services de restauration n.c.a.,Autres services de restauration n.c.a.,Autres services de restauration,Restauration,Hébergement et restauration,False,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,15,,RUE,VICTOR HUGO,94200,IVRY-SUR-SEINE,,94041,0,,,0,,,,0,,,0,,
SIVU PROD LIVRAISON REPAS COLLECTIFS,SIPLARC,,,,,SIPLARC,,,,50 à 99 salariés,Autres services de restauration n.c.a.,Autres services de restauration n.c.a.,Autres services de restauration,Restauration,Hébergement et restauration,True,Autres services de restauration n.c.a.,Autres services de restauration,Traiteurs et autres services de restauration,Restauration,Hébergement et restauration,,1,,RUE,SAINT JUST,93130,NOISY-LE-SEC,,93053,0,,,0,,,,0,,,0,,
SYNDICAT MIXTE D'ETUDE D'AMENAGEMENT DE GESTION DE LA BASE DE PLEIN AIR ET DE LOISIRS DE CERGY-PONTOISE,,,,,,,,,,50 à 99 salariés,Gestion d'installations sportives,Gestion d'installations sportives,Gestion d'installations sportives,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",True,Gestion d'installations sportives,Gestion d'installations sportives,Activités liées au sport,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",,29,,RUE,DES ETANGS,95000,CERGY,,95127,95001,CERGY PONTOISE CEDEX,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CENTRE DE SANTE MEDICAL TERNES,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins et des dentistes,Activités pour la santé humaine,Santé humaine et action sociale,,21,,RUE,PIERRE DEMOURS,75017,PARIS 17,,75117,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CTRE HEBERGEMENT URGENCE BAUDRICOUR,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Autres activités d'hébergement social,Autres activités d'hébergement social,Hébergement médico-social et social,Santé humaine et action sociale,,15,,RUE,BAUDRICOURT,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CHRS CTRE HEBERG REINS SOCIALE PAULINE ROLAND,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Autres activités d'hébergement social,Autres activités d'hébergement social,Hébergement médico-social et social,Santé humaine et action sociale,ACCUEIL FEMMES ENFANTS,35,,RUE,FESSART,75019,PARIS 19,,75119,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CENTRE SANTE MEDICAL ST DOMINIQUE,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Activité des médecins généralistes,Activité des médecins généralistes,Activité des médecins et des dentistes,Activités pour la santé humaine,Santé humaine et action sociale,,109,,RUE,ST DOMINIQUE,75007,PARIS 7,,75107,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CASVP PARIS 9EME SECTION,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,6,,RUE,DROUOT,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,PARIS 16EME SECTION,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,71,,AV,HENRI MARTIN,75016,PARIS 16,,75116,0,,,0,,,,0,,,0,,
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS,CASVP,,,,,CASVP,CHRS RELAIS CARRIERES ACCUEIL HOMME,,,50 à 99 salariés,Action sociale sans hébergement n.c.a.,Action sociale sans hébergement n.c.a.,Autre action sociale sans hébergement n.c.a.,Action sociale sans hébergement,Santé humaine et action sociale,False,Hébergement social pour adultes et familles en difficultés et autre hébergement social,Autres activités d'hébergement social,Autres activités d'hébergement social,Hébergement médico-social et social,Santé humaine et action sociale,,71,,RUE,DU CHATEAU DES RENTIERS,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
