denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
CYBELANGEL,,,,,,,,,,50 à 99 salariés,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,True,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,45-49,45,,RUE,DE MONCEAU,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
BABYCHOU SERVICES VINCENNES,,,,,,,,,,50 à 99 salariés,Accueil de jeunes enfants,Accueil de jeunes enfants,Action sociale sans hébergement pour jeunes enfants,Action sociale sans hébergement,Santé humaine et action sociale,True,Accueil de jeunes enfants,Action sociale sans hébergement pour jeunes enfants,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,8,,RUE,DE STRASBOURG,94300,VINCENNES,,94080,0,,,0,,,,0,,,0,,
ACE SERVICES,A.C.E.,,,,,A.C.E.,,,,50 à 99 salariés,Travaux d'installation d'équipements thermiques et de climatisation,Travaux d'installation d'équipements thermiques et de climatisation,Travaux de plomberie et installation de chauffage et de conditionnement d'air,Travaux de construction spécialisés,Construction,True,Travaux d'installation d'équipements thermiques et de climatisation,Travaux de plomberie et installation de chauffage et de conditionnement d'air,"Travaux d'installation électrique, plomberie et autres travaux d'installation",Travaux de construction spécialisés,Construction,,10,,AV,JACK GOUREVITCH,94500,CHAMPIGNY-SUR-MARNE,,94017,0,,,0,,,,0,,,0,,
GCA SUPPLY LOGISTICS,,,,,,,,,,50 à 99 salariés,Manutention non portuaire,Manutention non portuaire,Manutention,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Entreposage et stockage non frigorifique,Entreposage et stockage,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,BAT 19,0,,RPT,RENE RAVAUD,77550,REAU,,77384,0,,,0,,,,0,,,0,,
AORAKI,,,,,,,MONOPRIX,,,50 à 99 salariés,Supermarchés,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,False,Magasins multi-commerces,Commerce de détail en magasin non spécialisé à prédominance alimentaire,Commerce de détail en magasin non spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,20/24,20,,RUE,DE PARIS,94340,JOINVILLE-LE-PONT,,94042,0,,,0,,,,0,,,0,,
BABYCHOU SERVICES 92 NORD,,,,,,,,,,50 à 99 salariés,Accueil de jeunes enfants,Accueil de jeunes enfants,Action sociale sans hébergement pour jeunes enfants,Action sociale sans hébergement,Santé humaine et action sociale,True,Accueil de jeunes enfants,Action sociale sans hébergement pour jeunes enfants,Autre action sociale sans hébergement,Action sociale sans hébergement,Santé humaine et action sociale,,177,,AV,ACHILLE PERETTI,92200,NEUILLY-SUR-SEINE,,92051,0,,,0,,,,0,,,0,,
SCET GE,,,,,,,,,,50 à 99 salariés,Autres organisations fonctionnant par adhésion volontaire,Autres organisations fonctionnant par adhésion volontaire,Activités des organisations associatives n.c.a.,Activités des organisations associatives,Autres activités de services,True,Autres organisations fonctionnant par adhésion volontaire,Activités des organisations associatives n.c.a.,Activités des autres organisations associatives,Activités des organisations associatives,Autres activités de services,,52,,RUE,JACQUES HILLAIRET,75012,PARIS 12,,75112,0,,,0,,,,0,,,0,,
PRAGMATAN CONSULTING,,,,,VENANDI,,,,,50 à 99 salariés,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Activités liées à l'emploi,Activités de services administratifs et de soutien,True,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Activités liées à l'emploi,Activités de services administratifs et de soutien,,11,,RUE,MARIUS FRANAY,92210,SAINT-CLOUD,,92064,0,,,0,,,,0,,,0,,
UBISOFT MOBILE GAMES,,,,,1492 STUDIO,,,,,50 à 99 salariés,Édition de jeux électroniques,Édition de jeux électroniques,Édition de jeux électroniques,Édition,Information et communication,True,Édition de jeux électroniques,Édition de jeux électroniques,Édition de logiciels,Édition,Information et communication,,2,,AV,PASTEUR,94160,SAINT-MANDE,,94067,0,,,0,,,,0,,,0,,
SALVIA DEVELOPPEMENT,,,,,,,,,,50 à 99 salariés,Édition de logiciels applicatifs,Édition de logiciels applicatifs,Édition d'autres logiciels,Édition,Information et communication,True,Édition de logiciels applicatifs,Édition d'autres logiciels,Édition de logiciels,Édition,Information et communication,PARC DES PORTES DE PARIS,45,,AV,VICTOR HUGO,93300,AUBERVILLIERS,,93001,0,,,0,,,,0,,,0,,
