denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,denominationUsuelleEtablissement,sigleUniteLegale2,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,trancheEffectifsEtablissement,activitePrincipaleUniteLegale sous-classe,activitePrincipaleUniteLegale classe,activitePrincipaleUniteLegale groupe,activitePrincipaleUniteLegale division,activitePrincipaleUniteLegale section,etablissementSiege,activitePrincipaleEtablissement sous-classe,activitePrincipaleEtablissement classe ,activitePrincipaleEtablissement groupe ,activitePrincipaleEtablissement division,activitePrincipaleEtablissement section,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement
SWISSLIFE ASSURANCE ET PATRIMOINE,,,,,,,,,,1000 à 999 salariés,Assurance vie,Assurance vie,Assurance vie,Assurance,Activités financières et d'assurance,True,Assurance vie,Assurance vie,Assurance,Assurance,Activités financières et d'assurance,,7,,RUE,BELGRAND,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
PREVOIR VIE GROUPE PREVOIR,,,,,,,,,,1000 à 999 salariés,Assurance vie,Assurance vie,Assurance vie,Assurance,Activités financières et d'assurance,True,Assurance vie,Assurance vie,Assurance,Assurance,Activités financières et d'assurance,,19,,RUE,D AUMALE,75009,PARIS 9,,75109,0,,,0,,,,0,,,0,,
TORANN-FRANCE,,,,,,,,,,1000 à 999 salariés,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,True,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,22-28,22,,RUE,RASPAIL,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
COCA-COLA EUROPACIFIC PARTNERS FRANCE,,,,,CCEP FRANCE,,,,,1000 à 999 salariés,Production de boissons rafraîchissantes,Production de boissons rafraîchissantes,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,Fabrication de boissons,Industrie manufacturière,True,Production de boissons rafraîchissantes,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,Fabrication de boissons,Fabrication de boissons,Industrie manufacturière,CS 80050,9,,CHE,DE BRETAGNE,92130,ISSY-LES-MOULINEAUX,CS 80050,92040,0,,,0,,,,0,,,0,,
SOCIETE LOUIS VUITTON SERVICES,,,,,,,,,,1000 à 999 salariés,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Autre mise à disposition de ressources humaines,Activités liées à l'emploi,Activités de services administratifs et de soutien,True,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,2,,RUE,DU PONT NEUF,75001,PARIS 1,,75101,0,,,0,,,,0,,,0,,
ERNST ET YOUNG ADVISORY,,,,,EY CONSULTING,,,,,1000 à 999 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",1-2-PARIS LA DEFENSE 1,1,,PL,DES SAISONS,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
FOREVER LIVING PRODUCTS FRANCE,,,,,,,,,,1000 à 999 salariés,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers,"Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Vente à domicile,"Autres commerces de détail hors magasin, éventaires ou marchés","Commerce de détail hors magasin, éventaires ou marchés","Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,107,,BD,MALESHERBES,75008,PARIS 8,,75108,0,,,0,,,,0,,,0,,
ARVAL SERVICE LEASE,,ARVAL,,,ARVAL ARVAL MOBILITY OBSERVATORY,,ARVAL,,,1000 à 999 salariés,Location de longue durée de voitures et de véhicules automobiles légers,Location de longue durée de voitures et de véhicules automobiles légers,Location et location-bail de voitures et de véhicules automobiles légers,Activités de location et location-bail,Activités de services administratifs et de soutien,False,Location de longue durée de voitures et de véhicules automobiles légers,Location et location-bail de voitures et de véhicules automobiles légers,Location et location-bail de véhicules automobiles,Activités de location et location-bail,Activités de services administratifs et de soutien,,22,,RUE,DES DEUX GARES,92500,RUEIL-MALMAISON,,92063,0,,,0,,,,0,,,0,,
ASSISTANCE AERONAUTIQUE ET AEROSPATIALE,AAA,,,,,AAA,,,,1000 à 999 salariés,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Fabrication d'autres matériels de transport,Industrie manufacturière,True,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Fabrication d'autres matériels de transport,Industrie manufacturière,,10,,RUE,MERCOEUR,75011,PARIS 11,,75111,0,,,0,,,,0,,,0,,
LA POSTE,,DIRECTION GENERALE DE LA POSTE,,,,,LA POSTE,,,1000 à 999 salariés,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste et de courrier,Transports et entreposage,False,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste et de courrier,Transports et entreposage,,111,,BD,BRUNE,75014,PARIS 14,,75114,0,,,0,,,,0,,,0,,
LA POSTE,,DIRECTION GENERALE DE LA POSTE,,,,,LA POSTE,,,1000 à 999 salariés,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste et de courrier,Transports et entreposage,False,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste dans le cadre d'une obligation de service universel,Activités de poste et de courrier,Transports et entreposage,,19,,RUE,D ALLERAY,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
SAP FRANCE,,,,,,,,,,1000 à 999 salariés,Tierce maintenance de systèmes et d'applications informatiques,Tierce maintenance de systèmes et d'applications informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Tierce maintenance de systèmes et d'applications informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,TOUR SAP,35,,RUE,D ALSACE,92300,LEVALLOIS-PERRET,,92044,92309,LEVALLOIS PERRET CEDEX,,0,,,,0,,,0,,
ORANGE,,,,,,,,,,1000 à 999 salariés,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,False,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,,6,,PL,D ALLERAY,75015,PARIS 15,,75115,75505,PARIS CEDEX 15,,0,,,,0,,,0,,
ORANGE,,,,,,,,,,1000 à 999 salariés,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,False,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,,1,,PL,DES DROITS DE L HOMME,93210,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
ORANGE,,,,,,,,,,1000 à 999 salariés,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,False,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,78/80,78,,AV,GENERAL DE GAULLE,93170,BAGNOLET,,93006,0,,,0,,,,0,,,0,,
ORANGE,,,,,,,,,,1000 à 999 salariés,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,False,Télécommunications filaires,Télécommunications filaires,Télécommunications filaires,Télécommunications,Information et communication,COEUR DEFENSE TOUR B-100 AU 110,100,,ESP,DU GENERAL DE GAULLE,92400,COURBEVOIE,,92026,0,,,0,,,,0,,,0,,
OPEN,,,,,,,,,,1000 à 999 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,24-32-CARRE CHAMPERRET,28,,RUE,JACQUES IBERT,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
HELPLINE,,,,,SEEQUALIS,,,,,1000 à 999 salariés,Gestion d'installations informatiques,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques",Information et communication,True,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,,171,,AV,GEORGES CLEMENCEAU,92000,NANTERRE,,92050,0,,,0,,,,0,,,0,,
CAISSE D'EPARGNE ET DE PREVOYANCE ILE-DE-FRANCE,CEIDF,,,,,CEIDF,,,,1000 à 999 salariés,Autres intermédiations monétaires,Autres intermédiations monétaires,Autres intermédiations monétaires,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,False,Autres intermédiations monétaires,Autres intermédiations monétaires,Intermédiation monétaire,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,26-28,26,,RUE,NEUVE TOLBIAC,75013,PARIS 13,,75113,0,,,0,,,,0,,,0,,
THALES DMS FRANCE SAS,,,,,,,,,,1000 à 999 salariés,Fabrication d'équipements d'aide à la navigation,Fabrication d'équipements d'aide à la navigation,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,True,Fabrication d'équipements d'aide à la navigation,"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation","Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie","Fabrication de produits informatiques, électroniques et optiques",Industrie manufacturière,LA CLEF SAINT PIERRE,2,,AV,GAY LUSSAC,78990,ELANCOURT,,78208,0,,,0,,,,0,,,0,,
SYSTRA,,,,,,,,,,1000 à 999 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",72 AU 76,72,,RUE,HENRY FARMAN,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
ALSTOM TRANSPORT SA,,,,,,,,,,1000 à 999 salariés,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Fabrication d'autres matériels de transport,Industrie manufacturière,False,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Fabrication d'autres matériels de transport,Industrie manufacturière,,0,,RUE,ALBERT DHALENNE,93400,SAINT-OUEN-SUR-SEINE,,93070,0,,,0,,,,0,,,0,,
ALSTOM TRANSPORT SA,,,,,,,,,,1000 à 999 salariés,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Fabrication d'autres matériels de transport,Industrie manufacturière,False,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Construction de locomotives et d'autre matériel ferroviaire roulant,Fabrication d'autres matériels de transport,Industrie manufacturière,SIF,2,,RUE,PAULIN TALABOT,93400,SAINT-OUEN-SUR-SEINE,,93070,0,,,0,,,,0,,,0,,
DOCAPOSTE BPO IS,,,,,,,,,,1000 à 999 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",45-47,45,,BD,PAUL VAILLANT COUTURIER,94200,IVRY-SUR-SEINE,,94041,0,,,0,,,,0,,,0,,
AIRBUS DEFENCE AND SPACE SAS,,,,,,,,,,1000 à 999 salariés,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Fabrication d'autres matériels de transport,Industrie manufacturière,False,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Fabrication d'autres matériels de transport,Industrie manufacturière,ZAC DE LA CLEF ST PIERRE - CS 30503,1,,BD,JEAN MOULIN,78990,ELANCOURT,,78208,78997,ELANCOURT CEDEX,,0,,,,0,,,0,,
NUTRIMETICS FRANCE,,,,,,,,,,1000 à 999 salariés,Vente à domicile,Vente à domicile,"Autres commerces de détail hors magasin, éventaires ou marchés","Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Vente à domicile,"Autres commerces de détail hors magasin, éventaires ou marchés","Commerce de détail hors magasin, éventaires ou marchés","Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,171,,RUE,HELENE BOUCHER,78530,BUC,,78117,0,,,0,,,,0,,,0,,
EXPERIS FRANCE,,,,,EXPERIS  PROSERVIA FIELD SERVICES,,PROSERVIA,,,1000 à 999 salariés,Gestion d'installations informatiques,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques",Information et communication,False,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,IMMEUBLE EUREKA,13,,RUE,ERNEST RENAN,92000,NANTERRE,,92050,0,,,0,,,,0,,,0,,
METRO FRANCE,,,,,,,,,,1000 à 999 salariés,Commerce de gros (commerce interentreprises) alimentaire non spécialisé,Commerce de gros (commerce interentreprises) alimentaire non spécialisé,"Commerce de gros non spécialisé de denrées, boissons et tabac","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) alimentaire non spécialisé,"Commerce de gros non spécialisé de denrées, boissons et tabac","Commerce de gros de produits alimentaires, de boissons et de tabac","Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,ZA DU PETIT NANTERRE,5,,RUE,DES GRANDS PRES,92000,NANTERRE,,92050,92024,NANTERRE CEDEX,,0,,,,0,,,0,,
DELOITTE CONSEIL,,,,,,,,,,1000 à 999 salariés,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,Conseil de gestion,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,6,,PL,DE LA PYRAMIDE,92800,PUTEAUX,,92062,92908,PARIS LA DEFENSE CEDEX,,0,,,,0,,,0,,
DEVOTEAM,,,,,,,,,,1000 à 999 salariés,"Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes","Traitement de données, hébergement et activités connexes",Services d'information,Information et communication,True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,73,,RUE,ANATOLE FRANCE,92300,LEVALLOIS-PERRET,,92044,0,,,0,,,,0,,,0,,
VEOLIA ENVIRONNEMENT,VE,,,,,VE,,,,1000 à 999 salariés,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,False,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,30,,RUE,MADELEINE VIONNET,93300,AUBERVILLIERS,,93001,0,,,0,,,,0,,,0,,
SANOFI-AVENTIS GROUPE,,,,,,,,,,1000 à 999 salariés,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",True,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",,82,,AV,RASPAIL,94250,GENTILLY,,94037,0,,,0,,,,0,,,0,,
EXPLEO FRANCE,,,,,,,,,,1000 à 999 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",,3,,AV,DES PRES,78180,MONTIGNY-LE-BRETONNEUX,,78423,0,,,0,,,,0,,,0,,
ATOS FRANCE,,ATOS ORIGIN,,,,,,,,1000 à 999 salariés,Conseil en systèmes et logiciels informatiques,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,IMMEUBLE RIVER OUEST,80,,,QU VOLTAIRE,95870,BEZONS,,95063,0,,,0,,,,0,,,0,,
NOVARTIS PHARMA SAS,,,,,,,,,,1000 à 999 salariés,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros de produits pharmaceutiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros de produits pharmaceutiques,Commerce de gros de biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,08-Oct,8,,RUE,HENRI STE CLAIRE DEVILLE,92500,RUEIL-MALMAISON,,92063,0,,,0,,,,0,,,0,,
HUB SAFE,,,,,,,,,,1000 à 999 salariés,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,True,Activités de sécurité privée,Activités de sécurité privée,Activités de sécurité privée,Enquêtes et sécurité,Activités de services administratifs et de soutien,BATIMENT JUPITER,1,,PL,DE LONDRES,93290,TREMBLAY-EN-FRANCE,,93073,0,,,0,,,,0,,,0,,
SNCF RESEAU,RFF,,,,,RFF,,,,1000 à 999 salariés,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,,75,,RUE,EMMANUEL ARAGO,93130,NOISY-LE-SEC,,93053,0,,,0,,,,0,,,0,,
SNCF RESEAU,RFF,,,,,RFF,,,,1000 à 999 salariés,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,,6,,AV,FRANCOIS MITTERRAND,93210,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
SNCF RESEAU,RFF,,,,,RFF,,,,1000 à 999 salariés,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Services auxiliaires des transports terrestres,Services auxiliaires des transports terrestres,Services auxiliaires des transports,Entreposage et services auxiliaires des transports,Transports et entreposage,,10,,RUE,CAMILLE MOKE,93200,SAINT-DENIS,,93066,0,,,0,,,,0,,,0,,
SAFRAN AIRCRAFT ENGINES,,,,,,,,,,1000 à 999 salariés,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Fabrication d'autres matériels de transport,Industrie manufacturière,False,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Construction aéronautique et spatiale,Fabrication d'autres matériels de transport,Industrie manufacturière,,171,,BD,DE VALMY,92700,COLOMBES,,92025,0,,,0,,,,0,,,0,,
CONFORAMA FRANCE,,,,,,,,,,1000 à 999 salariés,Commerce de détail de meubles,Commerce de détail de meubles,"Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé","Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de détail de meubles,"Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé",Commerce de détail d'autres équipements du foyer en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,LOGNES,80,,BD,DU MANDINET,77185,LOGNES,CEDEX 2,77258,77432,MARNE LA VALLEE CEDEX 2,,0,,,,0,,,0,,
MSD FRANCE,,,,,,,,,,1000 à 999 salariés,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Commerce de gros de produits pharmaceutiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",10-Dec,10,,CRS,MICHELET,92800,PUTEAUX,,92062,0,,,0,,,,0,,,0,,
CONSORT FRANCE,,,,,,,CONSORT INFOGERANCE,,,1000 à 999 salariés,Gestion d'installations informatiques,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques",Information et communication,True,Conseil en systèmes et logiciels informatiques,Conseil informatique,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,IMMEUBLE CAP ETOILE,58,,BD,GOUVION ST CYR,75017,PARIS 17,,75117,0,,,0,,,,0,,,0,,
SOCIETE AIR FRANCE,,SKYTEAM,,,,,,,,1000 à 999 salariés,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,False,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,DIRECTION DU MATERIEL,0,,,AEROPORT PARIS ORLY,94310,ORLY,BP 124,94054,0,,,0,,,,0,,,0,,
SOCIETE AIR FRANCE,,SKYTEAM,,,,,,,,1000 à 999 salariés,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,False,Transports aériens de passagers,Transports aériens de passagers,Transports aériens de passagers,Transports aériens,Transports et entreposage,AIR FRANCE ESCALE D'ORLY,0,,,AEROPORT D'ORLY,94390,PARAY-VIEILLE-POSTE,BP 114,91479,94396,ORLY AEROGARE CEDEX,,0,,,,0,,,0,,
BERTRANDT,,,,,,,,,,1000 à 999 salariés,"Ingénierie, études techniques","Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",True,"Ingénierie, études techniques",Activités d'ingénierie,Activités d'architecture et d'ingénierie,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",35-37,35,,AV,LOUIS BREGUET,78140,VELIZY-VILLACOUBLAY,,78640,0,,,0,,,,0,,,0,,
THALES GLOBAL SERVICES SAS,,,,,,,,,,1000 à 999 salariés,Gestion d'installations informatiques,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques",Information et communication,True,Gestion d'installations informatiques,Gestion d'installations informatiques,"Programmation, conseil et autres activités informatiques","Programmation, conseil et autres activités informatiques",Information et communication,19 AU 21,19,,AV,MORANE SAULNIER,78140,VELIZY-VILLACOUBLAY,,78640,0,,,0,,,,0,,,0,,
AMAZON FRANCE LOGISTIQUE SAS,,,,,,,,,,1000 à 999 salariés,Entreposage et stockage non frigorifique,Entreposage et stockage non frigorifique,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,False,Entreposage et stockage non frigorifique,Entreposage et stockage,Entreposage et stockage,Entreposage et services auxiliaires des transports,Transports et entreposage,,20,,AV,DU CENTRE D'ESSAIS EN VOL,91220,BRETIGNY-SUR-ORGE,,91103,0,,,0,,,,0,,,0,,
NOAO,,,,,,,AKEO,,,1000 à 999 salariés,Commerce de gros (commerce interentreprises) d'autres biens domestiques,Commerce de gros (commerce interentreprises) d'autres biens domestiques,Commerce de gros d'autres biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,True,Commerce de gros (commerce interentreprises) d'autres biens domestiques,Commerce de gros d'autres biens domestiques,Commerce de gros de biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,,49,,RUE,ROUELLE,75015,PARIS 15,,75115,0,,,0,,,,0,,,0,,
DMF SALES & MARKETING,,,,,,,,,,1000 à 999 salariés,Activités des agences de publicité,Activités des agences de publicité,Activités des agences de publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",True,Activités des agences de publicité,Activités des agences de publicité,Publicité,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",,4,,AV,LAURENT CELY,92600,ASNIERES-SUR-SEINE,,92004,0,,,0,,,,0,,,0,,
INSTIT RADIOPROTECTION SURETE NUCLEAIRE,IRSN,,,,,IRSN,,,,1000 à 999 salariés,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",True,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement en sciences physiques et naturelles,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",,31,,AV,DE LA DIVISION LECLERC,92260,FONTENAY-AUX-ROSES,,92032,0,,,0,,,,0,,,0,,
