AdresseEtablissementPrive,NomEtablissementPrive
112 RUE DE LOURMEL 75015 PARIS 15,"['E.P.PR SAINTE-ELISABETH 112 rue de Lourmel', 'Lycee Prive Sainte-Elisabeth', 'College Prive Sainte-Elisabeth', 'Ecole Privee Sainte-Elisabeth']"
12 AVENUE DE VERDUN 93140 BONDY,"['Lycee polyvalent prive Assomption', 'Ecole primaire privee Assomption', ""Section d'enseignement professionnel du lycee Assomption"", 'College prive Assomption', ""Lycee Polyvalent l'Assomption""]"
12 AVENUE DU 8 MAI 1945 93500 PANTIN,"['Ecole primaire privee Saint Joseph La Salle', 'College Saint-Joseph', 'Groupe Scolaire Prive Catholique Saint-Joseph La Salle, Lycee', 'Groupe Scolaire Prive Catholique Saint-Joseph La Salle, College']"
12 BOULEVARD DE LA REPUBLIQUE 78440 PORCHEVILLE,"['Ecole elementaire privee Mathurin Cordier', 'Ecole Mathurin Cordier']"
12 RUE ALEXANDRE LANGE 78000 VERSAILLES,"['Ecole elementaire privee Saint Benoit', 'Ecole Saint Benoit']"
12 RUE ALEXANDRE PARODI 75010 PARIS 10,"['Institut du Management des Services Immobiliers', 'Groupe IGS Institut de Gestion Sociale']"
12 RUE CROCE SPINELLI 75014 PARIS 14,"['E.P.PR SAINTE-ELISABETH DE PLAISANCE 12 rue Croce Spinelli', 'Ecole Privee Primaire Sainte Elisabeth de Plaisance']"
12 RUE JUBE DE LA PERELLE 91410 DOURDAN,"['Ecole primaire privee Notre-Dame', 'Ecole Notre-Dame - Institut Saint-Paul']"
12 RUE DES JONQUILLES 75014 PARIS 14,"['E.P.PR CHARLES DE FOUCAULD 12 rue des Jonquilles', 'Ecole Privee Charles-de-Foucauld']"
12 RUE DU COLONEL MOLL 75017 PARIS 17,"[""Institut Prive d'Etudes Secondaires du College Latin"", 'Ecole secondaire privee College Latin', 'College Latin']"
12 RUE DU PARC 92300 LEVALLOIS-PERRET,"['Ecole primaire privee Nouvelle Emilie Brandt', 'Ecole Nouvelle Privee Emilie Brandt']"
121 AVENUE ACHILLE PERETTI 92200 NEUILLY-SUR-SEINE,"['College Saint-Pierre Saint-Jean', 'Lycee polyvalent La Trinite', 'Groupe Scolaire Saint-Pierre Saint-Jean, College']"
13 RUE FERNAND LEGER 75020 PARIS 20,"['Ecole de Management et Relation Client', ""Ecole Superieure d'Assurances"", 'Institut de Conciergerie Internationale', ""ESA Ecole Superieure d'Assurances""]"
13 RUE DU RETRAIT 75020 PARIS 20,"['E.P.PR NOTRE DAME DE LA CROIX 13 rue du Retrait', 'Ecole Privee Notre Dame de la Croix']"
14 RUE ALSACE LORRAINE 95260 BEAUMONT-SUR-OISE,"[""Ecole primaire privee Institution Jeanne-d'Arc"", ""College Jeanne d'Arc"", ""College Prive Sainte Jeanne d'Arc"", ""Internat de l'Institution Sainte Jeanne d'Arc"", ""Ecole Prive Maternelle et Primaire Sainte Jeanne d'Arc""]"
14 RUE CAVALLOTTI 75018 PARIS 18,"['Cours prive Saint-John Perse (Ecole secondaire privee)', 'Lycee Prive Saint-John Perse']"
14 RUE DE LA CASCADE 94170 LE PERREUX-SUR-MARNE,"['Ecole primaire privee Notre-Dame de Toutes Graces', 'Ecole Maternelle et Elementaire Notre-Dame-de-Toutes-Graces, Ensemble Sainte-Marie']"
15 AVENUE MAHIEU 94100 SAINT-MAUR-DES-FOSSES,"['College Saint-Andre', 'Ecole primaire privee Saint Andre', 'Ecole Privee Mixte Saint-Andre']"
15 BOULEVARD CHARPENTIER 77400 LAGNY-SUR-MARNE,"['Ecole primaire privee Saint-Joseph', 'Ecole Privee Catholique Saint-Joseph']"
