AdresseEtablissementPrive,NomEtablissementPrive
103 RUE DE REUILLY 75012 PARIS,['College prive Sainte-Clotilde']
104  RUE CASTAGNARY 75015 PARIS 15,['Institut Nemo']
104 AVENUE DE LA REPUBLIQUE 92400 COURBEVOIE,['Ecole maternelle privee Montessori Beautiful Minds']
104 RUE JULIETTE SAVAR 94000 CRETEIL,['IME La Nichee']
104 RUE NATIONALE 78940 LA QUEUE-LES-YVELINES,['Etablissement pour Poly-handicapes Institut medico-educatif Christian Lazard']
105 RUE DU 18 JUIN 95120 ERMONT,['Etablissement pour Poly-handicapes Institut medico educatif  Le clos fleuri']
106 BOULEVARD CHARLES DE GAULLE 95110 SANNOIS,"['College Notre-Dame', 'Ecole primaire privee Institution Notre-Dame', 'Lycee Notre-Dame']"
106 GRANDE RUE GRANDE RUE 78480 VERNEUIL-SUR-SEINE,['Ecole elementaire privee Pensionnat Notre-Dame']
106 RUE ALEXANDRE PRACHAY 95590 PRESLES,['Ecole primaire privee Montessori bilingue']
106 RUE DU FAUBOURG POISSONNIERE 75010 PARIS,"['College prive Rocroy Saint-Vincent de Paul', 'Lycee prive Rocroy Saint-Vincent-de-Paul']"
108 RUE DE VAUGIRARD 75006 PARIS,['Lycee technique prive Saint-Nicolas']
109 BOULEVARD DE CRETEIL 94100 SAINT-MAUR-DES-FOSSES,"[""Ecole primaire privee Jeanne d'Arc""]"
109 BOULEVARD DE CRETEIL 94100 SAINT-MAUR-DES-FOSSES,"[""College Jeanne d'Arc""]"
109 RUE NOTRE DAME DES CHAMPS 75006 PARIS  6,['E.P.PR ECOLE ALSACIENNE 109 rue notre Dame des Champs']
109 RUE NOTRE-DAME DES CHAMPS 75006 PARIS,"[""Lycee prive L'Ecole alsacienne"", ""College prive L'Ecole alsacienne""]"
11  RUE DES NOYERS 93300 AUBERVILLIERS,['Ecole primaire privee Notre Dame des Vertus']
11 ALLEE EUGENIE 75015 PARIS 15,['IME Village Saint-Michel']
11 ALLEE MADAME DE MONTESPAN 77600 BUSSY-SAINT-GEORGES,['Ecole Avenir Val de Bussy']
11 ALLEE PROMENADE DES ANGES 78210 SAINT-CYR-L'ECOLE,['Ecole elementaire privee Sainte Julitte']
11 AVENUE DE VILLARS 75007 PARIS  7,"['E.P.PR The Lennen Bilingual School 176 rue de Grenelle', 'College prive Lennen Bilingual School']"
11 BIS RUE GL GOURAUD 92190 MEUDON,['Ecole primaire privee Institution Notre Dame Saint Edmond']
11 BOULEVARD HENRI IV 91150 ETAMPES,"[""Ecole primaire privee Jeanne d'Arc"", ""Lycee Jeanne d'Arc""]"
11 BOULEVARD HENRI IV 91151 ETAMPES,"[""College Jeanne d'Arc""]"
11 PASSAGE SAINT AMBROISE 75011 PARIS,['College prive Saint-Ambroise']
11 PASSAGE SAINT AMBROISE 75011 PARIS 11,['E.P.PR SAINT-AMBROISE 11 passage Saint Ambroise']
11 RUE ADOLPHE MILLE 75019 PARIS 19,"[""Centre  d'Etude et de Recherche sur les Emplois et les Professionnalisations""]"
11 RUE CLER 75007 PARIS  7,['E.P.PR LA ROCHEFOUCAULD 11 rue Cler']
11 RUE DES POISSONNIERS 92200 NEUILLY-SUR-SEINE,['Institut medico educatif']
11 RUE ERNEST RENAN 92190 MEUDON,"['Ecole primaire privee La Source', 'Lycee La Source', 'College La Source']"
11 RUE FLATTERS 75005 PARIS  5,['E.M.PR MONTESSORI SMALL WORLD']
11 RUE NEUVE POPINCOURT 75011 PARIS 11,"['Lycee general prive La classe du Phare', 'College prive La classe du phare']"
11 RUE PIERRE BROSSOLETTE 93200 SAINT-DENIS,['IME Les Moulins Gemeaux']
11 RUE PAUL LANGEVIN 92350 LE PLESSIS-ROBINSON,['Ecole generale et technologique privee du Racing-Metro 92']
11 RUE PIERRE VILLEY 75007 PARIS  7,['E.E.PR COURS DU PONT DE PIERRE 11 rue Pierre Villey']
11 RUE PRADIER 75019 PARIS 19,['AMB Formations']
11 RUE DE COURTABOEUF 91400 ORSAY,"[""Lycee prive du cours secondaire d'Orsay"", 'Ecole primaire privee du Cours Secondaire', ""College prive du cours secondaire d'Orsay""]"
11 RUE DU 8 MAI 1945 94000 CRETEIL,['Ecole primaire privee Tsohar']
110 BOULEVARD DE MENILMONTANT 75020 PARIS,"['Lycee prive Heikhal Menahem Sinai', 'College prive Heikhal Menahem Sinai']"
110 BOULEVARD DE MENILMONTANT 75020 PARIS 20,['E.P.PR HEIKHAL MENAHEM SINAI 110 boulevard de Menilmontant']
110 RUE DE VILLIERS 78300 POISSY,['Institut medico educatif Emmanuel Marie']
111 RUE DES PLAIDEURS 92000 NANTERRE,['accueil de jour educatif et pedagogique']
112 BOULEVARD SAINT DENIS 92400 COURBEVOIE,"['Ecole secondaire privee Methivta Ohel Mordekhai', 'Ecole 2D degre general  privee Methivta Ohel mordekhai']"
112 RUE DE LOURMEL 75015 PARIS,"['Lycee prive Sainte-Elisabeth', 'College prive Sainte-Elisabeth']"
1120 ROUTE DES ALLUETS 78630 ORGEVAL,['Ecole elementaire privee Montessori internationale El Nido']
113 BOULEVARD DE SEBASTOPOL 75002 PARIS  2,"['College prive Montessori', 'Lycee general prive Montessori']"
113 RUE DE LA PLAINE 93160 NOISY-LE-GRAND,"[""Ecole Primaire Privee S'epanouir Autrement""]"
115 RUE DANIELLE CASANOVA 93300 AUBERVILLIERS,['Ecole elementaire Fort School']
115 RUE DU FAUBOURG POISSONNIERE 75009 PARIS  9,['Ecole Saint Louis de coiffure et beaute']
116 BOULEVARD DE GRENELLE 75015 PARIS 15,"['Ecole Privee AKIBA - J.Cour', 'College prive Akiba Jcours']"
116 RUE GEORGES COUBARD 91800 BOUSSY-SAINT-ANTOINE,"['Ecole elementaire privee Crayons de Miel', 'Ecole secondaire privee Crayons Miel']"
117 AVENUE VICTOR HUGO 75016 PARIS,['Lycee prive Passy Saint-Honore']
117 RUE BOBILLOT 75013 PARIS 13,['Etablissement Pour Poly-Handicapes Les Cascades']
117 RUE MAXIMILIEN ROBESPIERRE 93600 AULNAY-SOUS-BOIS,['Ecole Primaire Privee Fitrati']
118-120 RUE DE GRENELLE 75007 PARIS,"[""College prive Paul Claudel d'Hulst""]"
119 BOULEVARD DIDEROT 75012 PARIS,['Institut superieur prive Cloriviere']
119 RUE DE PARIS 92100 BOULOGNE-BILLANCOURT,"['Ecole secondaire privee  international scolaire - Open Sky International', 'Ecole elementaire privee Open Sky']"
12  RUE CUJAS 94400 VITRY-SUR-SEINE,['IME Suzanne Brunel']
12  RUE GEORGES CITERNE 75015 PARIS 15,['Annexe Ime Notre Ecole Aidera']
12 RUE DE BAGNEUX 92320 CHATILLON,['Institut medico educatif Le cedre']
12 RUE PAUL CEZANNE-ARTHIEUL 95420 MAGNY-EN-VEXIN,"[""Institut medico educatif Le temps de l'eveil""]"
12 RUE RUE MAURICE BERTEAUX LEBOURG 95120 ERMONT,['Institut medico educatif Les sources']
12 AVENUE ALBERT PLEUVRY 94370 SUCY-EN-BRIE,"['Lycee du petit Val', 'Ecole primaire privee Petit-Val', 'College petit-Val']"
12 AVENUE BOSQUET 75007 PARIS,"[""College prive de l'Alma"", ""Lycee prive de l'Alma""]"
12 AVENUE BOSQUET 75007 PARIS  7,"[""E.E.PR L'ALMA 12 avenue Bosquet""]"
12 AVENUE LEON GOURDAULT 94600 CHOISY-LE-ROI,"['Ecole primaire privee Saint Andre', 'Lycee Saint-Andre', 'College Saint-Andre']"
12 AVENUE VICTOR HUGO 94130 NOGENT-SUR-MARNE,['Ecole Montessori Internationale Trilingue de Nogent sur Marne']
12 AVENUE DES PRES 78180 MONTIGNY-LE-BRETONNEUX,['Centre de formation Inter et Intra Entreprises - Institut des etudes comptables']
12 AVENUE DU 8 MAI 1945 93500 PANTIN,['Lycee general prive Saint Joseph La Salle']
12 CHAUSSEE JULES CESAR 95520 OSNY,['Ecole Elementaire privee Les Petits Pas']
12 CHAUSSEE JULES CESAR 95520 OSNY,"['Ecole elementaire privee Jamondeyra', 'Ecole secondaire privee les Petis Pas']"
12 CHEMIN DE LA BUTTE AU BEURRE 78354 JOUY-EN-JOSAS,['Institut medico educatif  Les Metz']
12 CHEMIN DU MOULIN BASSET 93200 SAINT-DENIS,['I.T.E.P. SESSAD Saint-Denis - Angela Davis']
12 PLACE DE L'EGLISE 92140 CLAMART,"[""Institut d'Enseignement superieur prive Integrale Prepa""]"
12 RUE BENJAMIN FRANKLIN 75016 PARIS,['College prive Saint-Louis de Gonzague']
12 RUE BENJAMIN FRANKLIN 75116 PARIS,['Lycee prive Saint-Louis de Gonzague']
12 RUE EMILE BEAUFILS 93100 MONTREUIL,['IME Jean Mace']
12 RUE EMILE ZOLA 94120 FONTENAY-SOUS-BOIS,['Ecole Primaire Privee Beth Menahem']
12 RUE GEORGES CLEMENCEAU 77210 AVON,['Ecole maternelle privee Montessori']
12 RUE LEON BRY 93220 GAGNY,"[""Ecole primaire privee Sainte Jeanne d'Arc""]"
12 RUE LETELLIER 75015 PARIS 15,['E.M.PR ECOLE KOENIG 12 rue Letellier']
12 RUE MAGELLAN 75008 PARIS  8,['Paris School of Tourism and Communication']
12 RUE MARCEL DADI 94320 THIAIS,['Ecole primaire privee Ozar Hatorah']
12 RUE MICHEL ANGE 75016 PARIS,"['College prive Notre-Dame des Oiseaux', 'Lycee prive Notre-Dame des Oiseaux']"
12 RUE PIERRE BROSSOLETTE 92140 CLAMART,['Institut medico educatif le Fils de Soi']
12 RUE RENE CASSIN 91300 MASSY,"[""Ecole secondaire privee Educ' Etic"", ""Ecole elementaire privee Groupe Scolaire Educ'Etic""]"
12 RUE SAINT GILLES 75003 PARIS  3,['institut Medico Educatif Autisme 75 Centre idf']
12 RUE SEDILLOT 75007 PARIS  7,['Lycee etranger prive Leonard de Vinci']
12 RUE BLAISE PASCAL 92201 NEUILLY-SUR-SEINE,['Ecole elementaire privee Gan-Alef']
12 RUE DE LA VISITATION 77100 MEAUX,"['Lycee technologique Jean Rose - secteur hotellerie restauration', 'Lycee general prive Bossuet', 'Ecole primaire privee Sainte-Genevieve', 'Lycee professionnel Jean Rose - secteur hotellerie restauration']"
12 RUE DES ROSIERS 93400 SAINT-OUEN-SUR-SEINE,"[""IEM EVOLUDIA Etablissement d'education motrice de Saint-Ouen""]"
12 RUE DU QUATRE SEPTEMBRE 75002 PARIS  2,['ITECOM ART and DESIGN - Paris']
12-14 AVENUE DES MARRONNIERS 94130 NOGENT-SUR-MARNE,['College Albert de Mun']
12-14 RUE HENRI MURGER 75019 PARIS,['Lycee prive Lucien de Hirsch']
120 AVENUE DU COLONEL FABIEN 93100 MONTREUIL,"['IME Les Enfants Terribles', 'IME Autisme 93 Montreuil - Les Enfants Terribles']"
120 RUE ADRIEN LEMOINE 95000 PONTOISE,"[""Ecole elementaire privee Zebr'Ailes""]"
121 BOULEVARD RASPAIL - CS 10622 75006 PARIS,"[""Section d'enseignement professionnel du lycee prive Carcado-Saisseval"", 'Lycee prive Carcado Saisseval']"
121 BOULEVARD RASPAIL 75014 PARIS 14,"[""Etablissement Libre des Examens d'Admission""]"
122 BIS RUE DE SAUSSURE 75017 PARIS 17,['E.M.PR DOUCE MATERNELLE SAUSSURE 122 bis rue de Saussure']
123 RUE DE LA POMPE 75016 PARIS 16,['E.P.PR E.I.B. LAMARTINE 123 rue de la Pompe']
125 AVENUE DE FONTAINEBLEAU 77310 SAINT-FARGEAU-PONTHIERRY,['Ecole Montessori Les Galopins']
125 RUE CARDINET 75017 PARIS 17,['Institut Medico Educatif Impro Cardinet']
126 RUE PAUL VAILLANT COUTURIER 94310 ORLY,['Ecole primaire privee Poullart des Places']
127 AVENUE DU MARECHAL JOFFRE 95100 ARGENTEUIL,"['Lycee Saint-Joseph', 'College Saint-Joseph']"
13 RUE DE BAGNEUX 92320 CHATILLON,['Institut medico educatif Espoir Chatillonnais']
13 ALLEE DES ROMARINS 78180 MONTIGNY-LE-BRETONNEUX,['Ecole elementaire privee - Les Sources']
13 AVENUE DU BON ROI SAINT LOUIS 78300 POISSY,['Cours la Galiote']
13 BIS RUE LECOQ 78860 SAINT-NOM-LA-BRETECHE,['Ecole elementaire privee Montessori Etre et Decouvrir']
13 BIS RUE SAINT-SIMON 78000 VERSAILLES,['Ecole elementaire privee Saint-Pierre']
13 BIS RUE DES BERNARDINS 75005 PARIS  5,['E.P.PR SAINTE-CATHERINE 13 bis rue des Bernardins']
13 BOULEVARD DE LA PAIX 78300 POISSY,['Institut medico educatif']
13 PLACE ETIENNE PERNET 75015 PARIS 15,['E.P.PR SAINT-JOSEPH 13 place Etienne Pernet']
13 PLACE ETIENNE-PERNET 75015 PARIS,['College prive Saint-Joseph']
13 RUE ARISTIDE BRIAND 77124 VILLENOY,['AGE Defis Villenoy']
13 RUE DE CHANZY 78220 VIROFLAY,['Etablissement et services pour enfants et adolescents polyhandicapes Claire Girard']
13 RUE DAUMESNIL 94300 VINCENNES,['Ecole primaire privee Saint Joseph']
13 RUE ELSA TRIOLET 77176 SAVIGNY-LE-TEMPLE,"['Ecole primaire privee La Petite Plume', 'College prive La Petite Plume']"
13 RUE EUGENE MASSE 93190 LIVRY-GARGAN,['Ecole primaire privee Notre Dame']
13 RUE PAUL BERT 94200 IVRY-SUR-SEINE,"[""Ecole primaire privee Notre-Dame de L'Esperance""]"
13 RUE SAINTE MARIE 77230 JUILLY,"['Ecole primaire privee Bautain', 'College Bautain']"
13 RUE CHANZY 78220 VIROFLAY,['IME Claire GIRARD']
13 RUE DE PRAGUE 75012 PARIS,"['Lycee prive Eugene Napoleon - Saint-Pierre Fourier', 'College prive Eugene Napoleon Saint-Pierre Fourier']"
13 RUE DE LA FONTAINE AU ROI 75011 PARIS 11,['Ecole Privee de Dietetique et Nutrition Humaine']
13 RUE DE LA GRANGE BATELIERE 75009 PARIS  9,['E.P.PR MONTESSORI PARIS-DROUOT 13 rue de la Grange Bateliere']
13 RUE DES RONDONNEAUX 75020 PARIS 20,['E.M.PR MONTESSORI GRAINE A GRANDIR 13 rue des Rondonneaux']
13-15 RUE DE MONTEVIDEO 75016 PARIS,['Lycee prive Pascal']
132 RUE HENRI GINOUX 92120 MONTROUGE,['Ecole secondaire privee Pardess Hannah']
134 ROUTE DE CHARTRES 91440 BURES-SUR-YVETTE,"[""Institut et Centre d'optometrie - Lycee technique prive d'optometrie""]"
134 RUE DE SAUSSURE 75017 PARIS 17,['Ecole Secondaire Privee du Cerene']
138 AVENUE PABLO PICASSO 92000 NANTERRE,['Ecole primaire privee Louqman']
14 RUE MAGNE 91150 ETAMPES,['Etablissementl.pour Tr.caract.et Comp. Institut medico-pedagogique La feuilleraie']
14 RUE MARCEL BIERRY 94320 THIAIS,['IME Le Poujal']
14 AVENUE BLANCHE DE CASTILLE 78300 POISSY,"['Ecole elementaire privee Notre-Dame', 'College prive Notre-Dame']"
14 AVENUE CHARLES PEGUY 95200 SARCELLES,['Ecole elementaire privee Beth Yaacov']
14 AVENUE CHARLES PEGUY 95200 SARCELLES,"['Ecole 2D degre general privee Beth Yaacov', 'Lycee Torat Emet', 'Ecole secondaire privee Beth Yaacov', 'Ecole maternelle privee Ozar Hatorah', 'College Torat Emet']"
14 AVENUE VICTOR HUGO 94130 NOGENT-SUR-MARNE,['Ecole Montessori Internationale Trilingue de Nogent-sur-Marne']
14 BIS BOULEVARD CHASTENET DE GERY 94270 LE KREMLIN-BICETRE,['IME Seguin']
14 BOULEVARD DE LA REPUBLIQUE 78440 PORCHEVILLE,['Ecole secondaire privee Mathurin Cordier']
14 RUE DU LIEUTENANT BAUDE 95270 SAINT-MARTIN-DU-TERTRE,"[""Institut medico educatif Cle pour l'autisme R. Bonnard""]"
14 RUE LALLY TOLLENDAL 75019 PARIS 19,"['Ecole technologique privee Metiers de la creation-La Ruche', 'Cours Socrate (Ecole secondaire privee)']"
14 RUE MARECHAL LECLERC 91420 MORANGIS,['Ecole primaire privee Saint Joseph']
14 RUE MONTCHAUVET 78711 MANTES-LA-VILLE,['Ecole primaire privee Encyclopedia School Montessori']
14 RUE DE LA BEAUNE 93100 MONTREUIL,['Ecole Montessori Enfants du Monde']
14 RUE DES CAPUCINS 77120 COULOMMIERS,"['Ecole primaire privee Sainte-Foy', 'College institution Sainte-Foy']"
14 RUE DES COUDREAUX 92500 RUEIL-MALMAISON,['Ecole Elementaire privee Montessori Internationale']
14 RUE DES PETITS CARREAUX 75002 PARIS  2,['E.P.PR SAINT-SAUVEUR 14 rue des Petits Carreaux']
14 RUE DES CELTES 95100 ARGENTEUIL,['Ecole elementaire privee Cours Charlemagne']
14 RUE DU GENERAL DE GAULLE 95520 OSNY,['Institut medico educatif Anais OSNY']
140 RUE GALLIENI 92100 BOULOGNE-BILLANCOURT,['Ecole maternelle privee Montessori Bilingue']
141 AVENUE DE SUFFREN 75007 PARIS  7,['E.P.PR JEANNINE MANUEL 141 avenue de Suffren']
145 TER RUE CARDINET 75017 PARIS 17,['CENTRE D INFORMATION ET D ORIENTATION']
145 RUE SAINT MAUR 75011 PARIS 11,['Beth Safer']
145 RUE SAINT MAUR 75011 PARIS 11,['College prive BETH SEFER YAD MORDEKHAI']
145 RUE SAINT-MAUR 75011 PARIS 11,['E.P.PR YAD MORDEKHAI 145 rue Saint-Maur']
146 AVENUE DE SAINT OUEN 75018 PARIS 18,"[""Hopital de Jour l'Etincelle""]"
148 BOULEVARD ALSACE LORRAINE 94170 LE PERREUX-SUR-MARNE,['IME les Joncs Marins']
148 CHEMIN DE GROSLAY 93140 BONDY,['IME Les 1000 Couleurs Bondy']
15  RUE RIQUET 75019 PARIS 19,['Ecole Secondaire Privee Yechiva Torah Werahamim']
15 AVENUE DU GENERAL GABRIEL DELARUE 95000 PONTOISE,['Ecole elementaire privee Les Petites Souris De Montessori']
15 RUE DE LA FEDERATION 75015 PARIS 15,['C.F.L. CENTRE de FORMATION LINCOLN']
15 RUE DES COQUETIERS LE HAUT DU ROY 95204 SARCELLES,['Institut medico educatif Henri Wallon']
15 RUE GABRIEL PERI 95670 MARLY-LA-VILLE,['Institut Medico Educatif  Madeleine Bres']
15 RUE GALILEE 91270 VIGNEUX-SUR-SEINE,['Ecole secondaire privee Rhazes']
15 RUE GAMBETTA 78250 MEULAN-EN-YVELINES,['College Mercier Saint-Paul']
15 RUE LOUIS BRAILLE 77100 MEAUX,['Institut therapeutique educatif et pedagogique Frot']
15 RUE LOUIS DAVID 75016 PARIS 16,['E.P.PR SAINT-LOUIS DE GONZAGUE 15 rue Louis David']
15 RUE RENE CASSIN 92500 RUEIL-MALMAISON,['College Notre-Dame']
15 RUE RIQUET 75019 PARIS 19,['E.E.PR YECHIVA TORAH WERAHAMIM 15 rue Riquet']
15 RUE DE STRASBOURG 78200 MANTES-LA-JOLIE,['Lycee professionnel Notre-Dame']
15 RUE DU CAPITAINE SOYER 93310 LE PRE-SAINT-GERVAIS,"['College Saint-Joseph', 'Ecole primaire privee Saint Joseph']"
15 RUE DU LOUVRE 75001 PARIS  1ER ARRONDISSEMENT,"[""Etab prive d'enseignt tech sup Comart""]"
15 RUE DU PORT AUX LOUPS 95430 BUTRY-SUR-OISE,['Ecole secondaire privee Pierre Gilles de Gennes']
15/19 RUE LOUIS BLANC 95100 ARGENTEUIL,['College Sainte-Genevieve']
150 AVENUE JEAN JAURES 93000 BOBIGNY,"['Lycee general prive IQRA', 'Ecole Elementaire Privee Iqra', 'College prive Iqra']"
151 RUE LEON-MAURICE-NORDMANN 75013 PARIS 13,['College prive Diago']
154 RUE SAINT MAUR 75011 PARIS 11,['E.P.PR SAINT-JOSEPH 154 rue Saint Maur']
156 RUE DE VERSAILLES LE CHESNAY 78150 LE CHESNAY-ROCQUENCOURT,['Institut medical educatif  Le Bel Air']
158 RUE DE LA FONTAINE 77630 ARBONNE-LA-FORET,['IME Clairefontaine']
16 RUE DES CHEVALIERS ST JEAN 91100 CORBEIL-ESSONNES,['Etablissement pour tr. caract.et comp. les Fougeres']
16 AVENUE ALEXANDRE DUMAS 95230 SOISY-SOUS-MONTMORENCY,['Ecole primaire elementaire privee EDA']
16 AVENUE DE SAINT-GERMAIN 78560 LE PORT-MARLY,['Ecole privee des Orchidees']
16 BIS RUE DE L'ESTRAPADE 75005 PARIS  5,['Prepasup (Ecole secondaire privee)']
16 BIS RUE DU DOCTEUR CALMETTE 94310 ORLY,"['Lycee professionnel prive Paris Football Club Academy', 'LGT prive Paris Football Club Academy']"
16 BOULEVARD DU GENERAL LECLERC 92110 CLICHY,['College prive Institution Yad Mordekai']
16 BOULEVARD DU GENERAL LECLERC 92110 CLICHY,['Ecole elementaire privee Yad Mordekai']
16 RUE ANATOLE FRANCE 94300 VINCENNES,['Ecole primaire privee Ohel Barouch']
16 RUE CAMILLE PELLETAN 92300 LEVALLOIS-PERRET,['Ecole primaire privee Prunelle School']
16 RUE DU CLOITRE N DAME 75004 PARIS  4,['Institut prive de preparation aux etudes superieures']
16 RUE EDOUARD NIEUPORT 92150 SURESNES,['Ecole maternelle privee montessori internationale de suresnes']
16 RUE JULES VALLES 94600 CHOISY-LE-ROI,['Ecole Montessori Internationale le Kaleidoscope']
16 RUE JEAN BART 78960 VOISINS-LE-BRETONNEUX,['Ecole elementaire privee Les Tilleuls']
16 RUE JEANNE D'ARC 94160 SAINT-MANDE,"[""Ecole Maternelle L'Avenir de nos Enfants""]"
16 RUE MARGUERITTE 75017 PARIS,['College prive Ecole active bilingue Monceau']
16 RUE NICOLAS FORTIN 75013 PARIS 13,['Ecole Nationale Superieur de la Meunerie et des Industries Cerealieres']
16 RUE PIERRE GEOFROIX 92700 COLOMBES,['Ecole primaire privee Sainte Marie des Vallees']
16 RUE PIRANDELLO 75013 PARIS 13,['E.P.PR SAINT MARCEL 16 rue Pirandello']
16 RUE TACLET 75020 PARIS,['College prive Notre-Dame de Lourdes']
16 RUE D'AGUESSEAU 92100 BOULOGNE-BILLANCOURT,"[""Ecole 2D degre general privee Ecole progress d'Aguesseau""]"
16 RUE D'ALSACE LORRAINE 94100 SAINT-MAUR-DES-FOSSES,['Ecole Thalgo']
16 RUE DE MILAN 75009 PARIS  9,['E.P.PR LA TRINITE 16 rue de Milan']
16 SENTE DES CARRIERES 77600 BUSSY-SAINT-GEORGES,['Ecole maternelle privee la Maison des Enfants de Marne La Vallee']
162 RUE DE BELLEVILLE 75020 PARIS 20,['Institut Medico Educatif De Belleville']
1646 AVENUE ROGER SALENGRO 92370 CHAVILLE,"['College Saint-Thomas de Villeneuve', 'Ecole primaire privee Saint Thomas de Villeneuve', 'Lycee Saint-Thomas de Villeneuve']"
165  RUE DE SEVRES 75015 PARIS 15,['Application ens prive optique']
165 RUE DE PARIS 95680 MONTLIGNON,"['Institut medico educatif RENE ZAZZO - MLM', 'Dispositif Therapeutique Educatif et pedagogiaque Rene Laborie - MLM - Montlignon', 'Dispositif Institut Therapeutique Educatif et Pedagogique Robert Commin - MLM - Montlignon']"
167 RUE VERCINGETORIX 75014 PARIS 14,['Institut Point com']
1693 AVENUE ROGER SALENGRO 92370 CHAVILLE,['Ecole privee Montessori Free Minds Montessori School']
17 ALLEE LOUIS BREGUET 93420 VILLEPINTE,"['Ecole Primaire Privee Malik Ibn Anas', 'College prive Malik Ibn Anas']"
17 AVENUE ANATOLE FRANCE 94000 CRETEIL,['IME Anatole France']
17 AVENUE DE MONTROUGE 92340 BOURG-LA-REINE,['Ecole secondaire privee Saint-Roch']
17 BIS AVENUE DE MONTROUGE 92340 BOURG-LA-REINE,['Ecole elementaire prive Saint Roch']
17 BIS RUE DE TOCQUEVILLE 75017 PARIS 17,['E.P.PR FENELON SAINTE-MARIE 17 bis rue de Tocqueville']
17 BOULEVARD JOURDAN 75014 PARIS 14,['Paris FC College']
17 GRANDE RUE GRANDE RUE 91510 LARDY,['Ecole primaire privee Sainte Ernestine']
17 RUE BOURET 75019 PARIS 19,['E.P.PR SAINT-GEORGES 17 rue Bouret']
17 RUE CAMILLE PELLETAN 93600 AULNAY-SOUS-BOIS,"[""College prive l'Esperance""]"
17 RUE DE MONTIGNY 95100 ARGENTEUIL,['Ecole elementaire privee  Hanned']
17 RUE DU MOULIN 78690 LES ESSARTS-LE-ROI,['Institut medico educatif Le Moulin']
17 RUE EDGAR QUINET 93350 LE BOURGET,"['College Sainte-Marie', 'Ecole primaire privee Sainte Marie']"
17 RUE GALILEE 91270 VIGNEUX-SUR-SEINE,['Ecole elementaire privee Rhazes']
17 RUE LINNE 75005 PARIS  5,['INSTA  Institut National Superieur des Technologies Avancees et de la comptabilite']
17 RUE LOUIS BLANC 75010 PARIS 10,['Enseignement superieur Progress sante']
17 RUE THEODORE DECK 75015 PARIS 15,['E.M.PU The Garden Academy 17 rue Theodore Deck']
17 RUE YVES TOUDIC 75010 PARIS,['Lycee prive Bossuet Notre-Dame']
17 RUE DE MONTIGNY 95100 ARGENTEUIL,['Ecole secondaire privee Hanned']
17 RUE DU CLOS BENARD 93300 AUBERVILLIERS,"['Ecole primaire privee Chne Or', 'Lycee general prive Chne Ohr']"
173  RUE FAUBOURG SAINT DENIS 75010 PARIS 10,['CENTRE D INFORMATION ET D ORIENTATION']
174 RUE BLOMET 75007 PARIS  7,['Institut Medico-Educatif Cognacq-Jay de la fondation Cognac-Jay']
18  RUE ELYSEE RECLUS 93300 AUBERVILLIERS,['IME Apajh Rolland']
18 AVENUE CHARLES DE GAULLE 78230 LE PECQ,"['Ecole elementaire privee Saint Dominique', 'Ecole 2D degre general privee Saint Dominique']"
18 AVENUE DE LA JONCHERE C. CIAL. ELYSEE VILLAGE 78170 LA CELLE-SAINT-CLOUD,['Ecole secondaire privee La Jonchere']
18 RUE DU LIEUTENANT DAGORNO 94440 VILLECRESNES,['Ecole maternelle privee Le Petit Cours']
18 RUE GABRIEL PERI 91300 MASSY,['Ecole elementaire privee time 4 school']
18 RUE GOUBET 75019 PARIS 19,['IME Le Silence des Justes']
18 RUE LEON FROT 75011 PARIS 11,['Ecole dentaire francaise (Ecole secondaire professionnelle privee)']
18 RUE PASTEUR 92210 SAINT-CLOUD,"['Ecole elementaire privee Internationale Deutsche Schule Paris', 'Ecole secondaire privee internationale Deutsche Schule Paris', 'Ecole generale et technologique privee Internationale Deutsche Paris', 'Ecole maternelle privee Internationale Deutsche Schule Paris']"
18 RUE SAINT AMAND 75015 PARIS 15,['E.M.PR LA CARAVELLE MONTESSORI SCHOOL 18 rue Saint Amand']
18 RUE SIBUET 75012 PARIS 12,"[""E.P.PR L'IMMACULEE CONCEPTION 18 rue Sibuet""]"
18 RUE VICTORIEN SARDOU 78190 TRAPPES,['Institut therapeutique educatif et pedagogique La Boissiere']
18 RUE DE LA FELICITE 75017 PARIS 17,['Externat Medico-Pedagogique Saussure']
18 RUE DE LA REPUBLIQUE 95440 ECOUEN,"['Institut medico educatif Ecouen', ""Institut medico educatif  Centre therapeutique d'Ecouen""]"
18 RUE DES COTES 78600 MAISONS-LAFFITTE,"[""Lycee l'Ermitage""]"
182 RUE DU MARECHAL LECLERC 94410 SAINT-MAURICE,['College prive ISE Emeth Leyaacov - Garcons']
184 RUE LA FAYETTE 75010 PARIS 10,['E.P.PR SAINT-LAURENT 184 rue la Fayette']
187 RUE DU CHEVALERET 75013 PARIS 13,"[""L'Institut Medico-Psycho-Pedagogique et Educatif Chevaleret""]"
19 AVENUE EUGENE PELLETAN 94400 VITRY-SUR-SEINE,"['Lycee Epin', 'College Epin']"
19 BIS RUE CLEMENT MAREAU 75008 PARIS  8,['Institut Medico Educatif Ecole De Chaillot']
19 CHEMIN DES GRANDES TERRES 78955 CARRIERES-SOUS-POISSY,['Institut medico educatif Notre ecole']
19 RUE  JEAN WIENER 92700 COLOMBES,['Ecole primaire privee Montessori Bilingue de Colombes']
